onset	duration	trial_type	disobedience	InstructionToButtonTime	InstructionToToneTime	modulation
-29.56	0.0	Unknown2	n/a	n/a	n/a	1
-29.56	0.0	Unknown2	n/a	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	n/a	1
1.0300000000000011	0.0	FixationCross	n/a	n/a	n/a	1
6.629999999999999	0.5	Audio	n/a	n/a	n/a	1
6.629999999999999	4.810000000000002	Agency	n/a	4.810000000000002	5.190000000000005	2.261561307479757
6.629999999999999	0.5	AudioDontSendShock	n/a	n/a	n/a	1
6.629999999999999	0.5	AudioInstruction	n/a	4.810000000000002	5.190000000000005	1
9.16	0.0	Map1	n/a	n/a	n/a	1
11.240000000000002	1.5	WitnessShock	n/a	n/a	n/a	1
11.440000000000001	0.0	AgentShock	n/a	n/a	n/a	1
11.820000000000004	0.2	Audio	n/a	n/a	n/a	1
11.820000000000004	0.2	AudioTone	n/a	n/a	n/a	1
11.820000000000004	0.2	AudioTone	n/a	n/a	n/a	1
11.820000000000004	0.0	LogShock	n/a	n/a	n/a	1
11.840000000000002	9.259999999999996	RatingScale	n/a	n/a	n/a	1
21.220000000000002	0.0	FixationCross	n/a	n/a	n/a	1
22.790000000000003	0.0	FixationCross	n/a	n/a	n/a	1
25.390000000000004	0.5	AudioInstruction	n/a	3.489999999999995	4.349999999999994	1
25.390000000000004	0.5	Audio	n/a	n/a	n/a	1
25.390000000000004	0.5	AudioDontSendShock	n/a	n/a	n/a	1
25.390000000000004	3.489999999999995	Agency	n/a	3.489999999999995	4.349999999999994	-0.5898032744568945
27.919999999999998	0.0	Map2	n/a	n/a	n/a	1
28.68	1.5	WitnessShock	n/a	n/a	n/a	1
28.88	0.0	AgentShock	n/a	n/a	n/a	1
29.74	0.2	AudioTone	n/a	n/a	n/a	1
29.74	0.2	AudioTone	n/a	n/a	n/a	1
29.74	0.2	Audio	n/a	n/a	n/a	1
29.750000000000004	0.0	LogShock	n/a	n/a	n/a	1
29.760000000000005	11.059999999999988	RatingScale	n/a	n/a	n/a	1
40.92999999999999	0.0	FixationCross	n/a	n/a	n/a	1
42.25999999999999	0.0	FixationCross	n/a	n/a	n/a	1
43.66	5.260000000000005	Agency	n/a	5.260000000000005	6.090000000000003	2.7794373533443224
43.66	0.5	AudioSendShock	n/a	n/a	n/a	1
43.66	0.5	AudioInstruction	n/a	5.260000000000005	6.090000000000003	1
43.66	0.5	Audio	n/a	n/a	n/a	1
46.19	0.0	Map2	n/a	n/a	n/a	1
48.72	1.5	WitnessShock	n/a	n/a	n/a	1
48.92	0.0	AgentShock	n/a	n/a	n/a	1
49.75	0.2	AudioTone	n/a	n/a	n/a	1
