onset	duration	trial_type	InstructionToButtonTime	InstructionToToneTime	modulation
-28.95	0.0	Unknown2	n/a	n/a	1
-28.95	0.0	Unknown2	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	1
1.0300000000000011	0.0	FixationCross	n/a	n/a	1
3.039999999999999	0.5	Audio	n/a	n/a	1
3.039999999999999	5.260000000000002	Agency	5.260000000000002	6.220000000000002	1.6462715680124214
3.039999999999999	0.5	AudioYouCanChoose	n/a	n/a	1
3.039999999999999	0.5	AudioInstruction	5.260000000000002	6.220000000000002	1
5.570000000000004	0.0	Map1	n/a	n/a	1
8.100000000000001	1.5	WitnessShock	n/a	n/a	1
8.3	0.0	AgentShock	n/a	n/a	1
9.260000000000002	0.2	AudioTone	n/a	n/a	1
9.260000000000002	0.2	AudioTone	n/a	n/a	1
9.260000000000002	0.2	Audio	n/a	n/a	1
9.27	0.0	LogShock	n/a	n/a	1
9.28	9.160000000000002	RatingScale	n/a	n/a	1
18.56	0.0	FixationCross	n/a	n/a	1
20.459999999999997	0.0	FixationCross	n/a	n/a	1
20.66	0.5	AudioYouCanChoose	n/a	n/a	1
20.66	0.5	AudioInstruction	5.43	5.689999999999998	1
20.66	0.5	Audio	n/a	n/a	1
20.66	5.43	Agency	5.43	5.689999999999998	2.2522420863394164
23.180000000000003	0.0	Map2	n/a	n/a	1
26.09	0.0	Button	n/a	n/a	1
26.09	0.0	AgentNoShock	n/a	n/a	1
26.15	1.5	WitnessNoShock	n/a	n/a	1
26.349999999999998	0.2	AudioTone	n/a	n/a	1
26.349999999999998	0.0	LogNoShock	n/a	n/a	1
26.349999999999998	0.2	AudioTone	n/a	n/a	1
26.36	9.039999999999992	RatingScale	n/a	n/a	1
35.50999999999999	0.0	FixationCross	n/a	n/a	1
37.25999999999999	0.0	FixationCross	n/a	n/a	1
42.86	4.25	Agency	4.25	4.819999999999993	-0.11429750825221321
42.86	0.5	Audio	n/a	n/a	1
42.86	0.5	AudioYouCanChoose	n/a	n/a	1
42.86	0.5	AudioInstruction	4.25	4.819999999999993	1
45.39	0.0	Map1	n/a	n/a	1
47.11	0.0	AgentNoShock	n/a	n/a	1
47.11	0.0	Button	n/a	n/a	1
47.47999999999999	1.5	WitnessNoShock	n/a	n/a	1
47.67999999999999	0.0	LogNoShock	n/a	n/a	1
47.67999999999999	0.2	AudioTone	n/a	n/a	1
47.67999999999999	0.2	Audio	n/a	n/a	1
47.699999999999996	9.050000000000004	RatingScale	n/a	n/a	1
56.86	0.0	FixationCross	n/a	n/a	1
57.94	0.0	FixationCross	n/a	n/a	1
63.53999999999999	0.5	AudioInstruction	4.160000000000011	4.710000000000008	1
63.53999999999999	0.5	AudioYouCanChoose	n/a	n/a	1
63.53999999999999	0.5	Audio	n/a	n/a	1
63.53999999999999	4.160000000000011	Agency	4.160000000000011	4.710000000000008	0.0980246426705626
66.08	0.0	Map2	n/a	n/a	1
67.7	0.0	Button	n/a	n/a	1
67.7	0.0	AgentShock	n/a	n/a	1
68.05	1.5	WitnessShock	n/a	n/a	1
68.25	0.0	LogShock	n/a	n/a	1
68.25	0.2	AudioTone	n/a	n/a	1
68.25	0.2	Audio	n/a	n/a	1
68.26	10.069999999999993	RatingScale	n/a	n/a	1
78.42999999999999	0.0	FixationCross	n/a	n/a	1
79.63	0.0	FixationCross	n/a	n/a	1
80.42999999999999	4.27000000000001	Agency	4.27000000000001	4.540000000000006	0.426581547748116
80.42999999999999	0.5	Audio	n/a	n/a	1
80.42999999999999	0.5	AudioInstruction	4.27000000000001	4.540000000000006	1
80.42999999999999	0.5	AudioYouCanChoose	n/a	n/a	1
82.97	0.0	Map1	n/a	n/a	1
84.7	0.0	AgentNoShock	n/a	n/a	1
84.7	0.0	Button	n/a	n/a	1
84.77	1.5	WitnessNoShock	n/a	n/a	1
84.97	0.0	LogNoShock	n/a	n/a	1
84.97	0.2	AudioTone	n/a	n/a	1
84.97	0.2	AudioTone	n/a	n/a	1
84.98	11.079999999999998	RatingScale	n/a	n/a	1
96.17	0.0	FixationCross	n/a	n/a	1
97.46	0.0	FixationCross	n/a	n/a	1
100.05999999999999	4.230000000000018	Agency	4.230000000000018	5.070000000000022	0.12437118694566107
100.05999999999999	0.5	AudioInstruction	4.230000000000018	5.070000000000022	1
100.05999999999999	0.5	Audio	n/a	n/a	1
100.05999999999999	0.5	AudioYouCanChoose	n/a	n/a	1
102.58999999999999	0.0	Map1	n/a	n/a	1
104.09	1.5	WitnessNoShock	n/a	n/a	1
104.29	0.0	AgentNoShock	n/a	n/a	1
105.13000000000001	0.2	Audio	n/a	n/a	1
105.13000000000001	0.2	AudioTone	n/a	n/a	1
105.13000000000001	0.0	LogNoShock	n/a	n/a	1
105.13000000000001	0.2	AudioTone	n/a	n/a	1
105.14000000000001	10.049999999999969	RatingScale	n/a	n/a	1
115.29	0.0	FixationCross	n/a	n/a	1
116.58	0.0	FixationCross	n/a	n/a	1
122.77999999999999	3.980000000000018	Agency	3.980000000000018	4.810000000000002	-0.6458777839201151
122.77999999999999	0.5	AudioYouCanChoose	n/a	n/a	1
122.77999999999999	0.5	Audio	n/a	n/a	1
122.77999999999999	0.5	AudioInstruction	3.980000000000018	4.810000000000002	1
125.3	0.0	Map2	n/a	n/a	1
126.76	0.0	AgentShock	n/a	n/a	1
126.76	0.0	Button	n/a	n/a	1
127.38999999999999	1.5	WitnessShock	n/a	n/a	1
127.58999999999999	0.0	LogShock	n/a	n/a	1
127.58999999999999	0.2	Audio	n/a	n/a	1
127.58999999999999	0.2	AudioTone	n/a	n/a	1
127.6	11.070000000000022	RatingScale	n/a	n/a	1
138.78	0.0	FixationCross	n/a	n/a	1
139.99	0.0	FixationCross	n/a	n/a	1
140.19	4.010000000000019	Agency	4.010000000000019	4.850000000000023	-0.5962842888140677
140.19	0.5	AudioYouCanChoose	n/a	n/a	1
140.19	0.5	AudioInstruction	4.010000000000019	4.850000000000023	1
140.19	0.5	Audio	n/a	n/a	1
142.72	0.0	Map2	n/a	n/a	1
144.00000000000003	1.5	WitnessShock	n/a	n/a	1
144.20000000000002	0.0	AgentShock	n/a	n/a	1
145.04000000000002	0.2	AudioTone	n/a	n/a	1
145.04000000000002	0.2	Audio	n/a	n/a	1
145.04000000000002	0.0	LogShock	n/a	n/a	1
145.04000000000002	0.2	AudioTone	n/a	n/a	1
145.05	11.050000000000011	RatingScale	n/a	n/a	1
156.21	0.0	FixationCross	n/a	n/a	1
157.49	0.0	FixationCross	n/a	n/a	1
158.29000000000002	0.5	AudioYouCanChoose	n/a	n/a	1
158.29000000000002	0.5	Audio	n/a	n/a	1
158.29000000000002	4.679999999999978	Agency	4.679999999999978	5.2099999999999795	0.2545541115989699
158.29000000000002	0.5	AudioInstruction	4.679999999999978	5.2099999999999795	1
160.82000000000002	0.0	Map2	n/a	n/a	1
162.97	0.0	AgentShock	n/a	n/a	1
162.97	0.0	Button	n/a	n/a	1
163.3	1.5	WitnessShock	n/a	n/a	1
163.5	0.0	LogShock	n/a	n/a	1
163.5	0.2	AudioTone	n/a	n/a	1
163.5	0.2	AudioTone	n/a	n/a	1
163.51	10.110000000000014	RatingScale	n/a	n/a	1
173.73000000000002	0.0	FixationCross	n/a	n/a	1
175.05	0.0	FixationCross	n/a	n/a	1
175.85000000000002	0.5	AudioInstruction	3.5600000000000023	4.099999999999994	1
175.85000000000002	0.5	Audio	n/a	n/a	1
175.85000000000002	3.5600000000000023	Agency	3.5600000000000023	4.099999999999994	-1.3618838695136788
175.85000000000002	0.5	AudioYouCanChoose	n/a	n/a	1
178.38000000000002	0.0	Map1	n/a	n/a	1
179.41000000000003	0.0	AgentNoShock	n/a	n/a	1
179.41000000000003	0.0	Button	n/a	n/a	1
179.75000000000003	1.5	WitnessNoShock	n/a	n/a	1
179.95000000000002	0.0	LogNoShock	n/a	n/a	1
179.95000000000002	0.2	Audio	n/a	n/a	1
179.95000000000002	0.2	AudioTone	n/a	n/a	1
179.96	10.050000000000011	RatingScale	n/a	n/a	1
190.11	0.0	FixationCross	n/a	n/a	1
192.10000000000002	0.0	FixationCross	n/a	n/a	1
194.10000000000002	4.269999999999982	Agency	4.269999999999982	4.509999999999991	0.31809577720359666
194.10000000000002	0.5	AudioInstruction	4.269999999999982	4.509999999999991	1
194.10000000000002	0.5	Audio	n/a	n/a	1
194.10000000000002	0.5	AudioYouCanChoose	n/a	n/a	1
