onset	duration	trial_type	InstructionToButtonTime	InstructionToToneTime	modulation
-29.59	0.0	Unknown2	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown2	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
-29.59	0.0	Unknown1	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	1
1.0500000000000007	0.0	FixationCross	n/a	n/a	1
5.449999999999999	0.5	AudioInstruction	3.9100000000000037	5.300000000000004	1
5.449999999999999	3.9100000000000037	Agency	3.9100000000000037	5.300000000000004	-0.873141882395694
5.449999999999999	0.5	AudioYouCanChoose	n/a	n/a	1
5.449999999999999	0.5	Audio	n/a	n/a	1
7.98	0.0	Map1	n/a	n/a	1
9.360000000000003	0.0	Button	n/a	n/a	1
9.360000000000003	0.0	CommanderShock	n/a	n/a	1
9.490000000000002	1.5	WitnessShock	n/a	n/a	1
10.750000000000004	0.0	LogShock	n/a	n/a	1
10.750000000000004	0.2	AudioTone	n/a	n/a	1
10.750000000000004	0.2	Audio	n/a	n/a	1
10.750000000000004	0.2	AudioTone	n/a	n/a	1
10.770000000000001	10.230000000000002	RatingScale	n/a	n/a	1
21.12	0.0	FixationCross	n/a	n/a	1
22.279999999999998	0.0	FixationCross	n/a	n/a	1
28.48	0.5	AudioInstruction	3.9599999999999973	4.459999999999997	1
28.48	0.5	Audio	n/a	n/a	1
28.48	3.9599999999999973	Agency	3.9599999999999973	4.459999999999997	-0.32419618867995714
28.48	0.5	AudioYouCanChoose	n/a	n/a	1
31.01	0.0	Map1	n/a	n/a	1
32.44	0.0	Button	n/a	n/a	1
32.44	0.0	CommanderShock	n/a	n/a	1
32.480000000000004	1.5	WitnessShock	n/a	n/a	1
32.94	0.2	AudioTone	n/a	n/a	1
32.94	0.2	AudioTone	n/a	n/a	1
32.94	0.2	Audio	n/a	n/a	1
32.94	0.0	LogShock	n/a	n/a	1
32.949999999999996	11.059999999999995	RatingScale	n/a	n/a	1
44.11999999999999	0.0	FixationCross	n/a	n/a	1
45.42	0.0	FixationCross	n/a	n/a	1
45.61999999999999	3.9200000000000017	Agency	3.9200000000000017	4.720000000000013	-0.21253176961665773
