onset	duration	trial_type	disobedience	InstructionToButtonTime	InstructionToToneTime	modulation
-29.61	0.0	Unknown2	n/a	n/a	n/a	1
-29.61	0.0	Unknown2	n/a	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	n/a	1
1.0399999999999991	0.0	FixationCross	n/a	n/a	n/a	1
6.640000000000001	0.5	Audio	n/a	n/a	n/a	1
6.640000000000001	3.719999999999999	Agency	n/a	3.719999999999999	4.079999999999998	0.011677580370127325
6.640000000000001	0.5	AudioDontSendShock	n/a	n/a	n/a	1
6.640000000000001	0.5	AudioInstruction	n/a	3.719999999999999	4.079999999999998	1
9.18	0.0	Map1	n/a	n/a	n/a	1
10.36	0.0	Button	n/a	n/a	n/a	1
10.36	0.0	AgentNoShock	n/a	n/a	n/a	1
10.52	1.5	WitnessNoShock	n/a	n/a	n/a	1
10.719999999999999	0.2	AudioTone	n/a	n/a	n/a	1
10.719999999999999	0.2	AudioTone	n/a	n/a	n/a	1
10.719999999999999	0.0	LogNoShock	n/a	n/a	n/a	1
10.740000000000004	9.249999999999998	RatingScale	n/a	n/a	n/a	1
20.11	0.0	FixationCross	n/a	n/a	n/a	1
21.68	0.0	FixationCross	n/a	n/a	n/a	1
24.28	0.5	AudioDontSendShock	n/a	n/a	n/a	1
24.28	0.5	AudioInstruction	n/a	3.6700000000000017	4.530000000000001	1
24.28	0.5	Audio	n/a	n/a	n/a	1
24.28	3.6700000000000017	Agency	n/a	3.6700000000000017	4.530000000000001	-0.8247291136424113
26.799999999999997	0.0	Map2	n/a	n/a	n/a	1
27.950000000000003	0.0	Button	n/a	n/a	n/a	1
27.950000000000003	0.0	AgentNoShock	n/a	n/a	n/a	1
28.610000000000003	1.5	WitnessNoShock	n/a	n/a	n/a	1
28.810000000000002	0.2	AudioTone	n/a	n/a	n/a	1
28.810000000000002	0.2	Audio	n/a	n/a	n/a	1
28.810000000000002	0.0	LogNoShock	n/a	n/a	n/a	1
28.820000000000004	11.05	RatingScale	n/a	n/a	n/a	1
39.97	0.0	FixationCross	n/a	n/a	n/a	1
41.290000000000006	0.0	FixationCross	n/a	n/a	n/a	1
42.7	3.6799999999999926	Agency	n/a	3.6799999999999926	4.549999999999997	-1.267017470162178
42.7	0.5	Audio	n/a	n/a	n/a	1
42.7	0.5	AudioSendShock	n/a	n/a	n/a	1
42.7	0.5	AudioInstruction	n/a	3.6799999999999926	4.549999999999997	1
45.22	0.0	Map2	n/a	n/a	n/a	1
46.17999999999999	1.5	WitnessShock	n/a	n/a	n/a	1
46.379999999999995	0.0	AgentShock	n/a	n/a	n/a	1
47.25	0.2	Audio	n/a	n/a	n/a	1
