global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
5434.018096091192	n/a	n/a	29528552.668646544	9453.136302613048	n/a	89361785.95578068	n/a	5164.904147264744	n/a	26676234.850432552	n/a	6179.270224051987	6298.570365967349	n/a	n/a	n/a	n/a	0.03446508	-0.055469488	0.0763715732	-0.0367572135	0.0104280718	-0.1292099117	-0.0681558475	-0.0198684711	0.0068828261	0.0513907957	-0.0528457686	-0.023878993	0.0084387628	-0.0181230052	0.0204593788	-0.0446237033	0.0246560671	-0.0299154557	0.0884805482	0.0022318936	-0.0150817191	0.0464214616	-0.0125382361	0.0215770099	-0.0893602675	0.0196113591	-0.1269503336	0.0975801061	-0.0695848238	0.0706543738	-0.0391698612	0.0835926986	-0.0976958718	0.077039649	0.0875102472	-0.0580617262	-0.0084946095	0.1615317099	-0.1132620142	-0.0417309123	0.0452632199	0.0271090989	0.0357985896	0.1127107387	-0.2660134265	-0.0297708978	-0.0200816896	0.0442192939	-0.0034102898	0.0151560242	0.0500992231	-0.0345438704	0.0357946949	-0.0250759208	0.0068324428	-0.009001056	0.103286196	-0.0762543067	0.0498152479	0.0414195983	-0.0274665911	0.0291937933	-0.0638305104	0.1250412969	-0.0741342713	0.0292706324	-0.022845063	0.0330193212	-0.0602897537	-0.049940925	-0.0104972833	0.0026317645	-0.0472852273	0.0652693967	-0.0132594666	0.024704806	-0.0257898235	0.0657739566	-0.0260844117	0.0568757579	-0.0906581147	0.0105291223	-0.0362176921	0.0057021542	-0.0757681806	-0.0202291901	0.092922837	-0.042635688	0.0061894437	-0.015706196	0.0802099463	-0.0839351783	0.046440268	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0315097	n/a	n/a	0.00099286119409	0.051747	n/a	n/a	0.002677752009	-0.244804	n/a	n/a	0.0599289984159999	0.000414805	n/a	1.72063188025e-07	n/a	0.0007947899999999	n/a	6.31691144099841e-07	n/a	-0.0007466019999999	n/a	5.574145464038507e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5426.7791178283305	-7.238978262861565	52.40280629018224	29449931.593697637	9428.842315200454	-24.2939874125932	88903067.40491466	590.1978244032367	5163.409258496677	-1.4948887680675398	26660795.1707292	2.234692428894487	6171.699008428346	6338.185490161249	0.97789	28.959187	0.0297151499999999	0.0150656	0.0330136708	0.0308639371	-0.1280527657	0.0606223572	0.0701602802	-0.0041269152	0.092592872	-0.0158018505	0.0010313739	0.0377970777	-0.034170592	0.0013116889	-0.0042501395	0.0401190513	-0.0465539875	-0.0103951799	0.0562634883	0.0183509367	0.0291977814	-0.1092910202	-0.1127683542	-0.0712837398	-0.0340438324	0.0553380674	-0.0540661093	0.0342435928	-0.015163391	0.0991473655	-0.1626705816	0.0665406181	-0.0292574709	0.0585096028	-0.018885289	0.0122487989	0.1083586712	-0.0130817131	0.031940686	-0.0953426372	-0.1429673364	0.0810188169	-0.0955417693	-0.1201651029	-0.0923627691	0.0322442368	-0.0100487	-0.0277609855	0.0059808476	0.0199070846	0.0236393766	0.0278171117	0.0111834059	-0.0319173566	0.0251955891	-0.0538703291	-0.0050057643	-0.0285708453	-0.034030736	0.0160327014	-0.0160828561	-0.1121253021	-0.144452022	-0.1028947768	-0.0210908241	0.0865237921	0.0357837113	0.1347679564	-0.0751879729	0.0906829802	0.0296010365	-0.041630633	0.0017234519	0.0287632383	-0.0591818304	0.0501042933	0.0132133002	0.0092050717	-0.0741844127	0.0576977193	-0.0317196378	0.0495056891	-0.037885126	-0.035184929	0.0065014897	-0.1309532952	-0.0526153812	-0.104712672	-0.0474670216	-0.0115057086	0.026464466	0.0058355093	-0.0801623478	0.0489847617	-0.056885732	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0305722	0.0009375	8.789062500000016e-07	0.00093465941284	0.0467154	-0.0050316	2.531699856000004e-05	0.0021823285971599	-0.244289	0.0005149999999999	2.652249999999873e-07	0.059677115521	0.000575912	0.000161107	3.316746317440001e-07	2.5955465449000005e-08	0.000587718	-0.0002070719999999	3.45412447524e-07	4.28788131839586e-08	-0.000843044	-9.644200000010004e-05	7.107231859360001e-07	9.301059364019297e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5433.678060047679	6.8989422193481005	47.595403745903695	29524857.260243505	9462.567039309408	33.724724108953524	89540174.9734248	1137.357016225031	5164.298689748659	0.889431251982387	26669980.95693972	0.7910879520029565	6180.075040970329	6327.964361572895	1.030687	30.522709	0.050194615	0.03223	0.0320812125	-0.0970064942	0.0585106626	-0.0166639142	-0.1334499772	0.0399301368	-0.0363805786	-0.0283745639	-0.0045732108	-0.0019345687	-0.0366238578	-0.0245422402	0.0341937868	0.0099581434	-0.0246511495	0.0471673436	0.1023905069	0.0535963213	-0.0201598378	-0.1154754571	-0.0650116876	0.0806260778	0.0899306417	0.1017587512	0.100449684	-0.0128590244	0.0926609624	-0.0043052895	0.0324788981	-0.1191216395	0.0041664733	0.0557469574	0.0096876951	0.1240062323	-0.0936497069	-0.0126920135	0.0325011077	0.006242788	-0.0117751317	0.1694578023	-0.0500641014	0.0237907099	-0.016401145	-0.080046686	0.0722269378	-0.0306755758	-0.0195105437	0.0293105493	0.0245096584	-0.012719481	-0.0029884537	0.0083605231	0.044296224	0.0674190459	-0.0556006365	-0.0764535821	-0.0455941035	-0.0049606882	-0.0462414848	-0.0139635432	0.1659789723	-0.0634187201	-0.1238115358	-0.1046898134	-0.1007061892	0.0841522149	0.043723778	0.0711131634	0.0121842121	-0.0546988903	0.0012435238	0.0281633097	-0.0631869928	0.0750817269	-0.0175763823	0.0306997614	-0.0406548548	0.0470814489	-0.0394085153	0.0522137294	-0.0787433595	-0.0165846896	-0.0713193215	0.0061971277	0.1011225661	0.0335213519	0.0792401334	0.0738275967	0.0305253752	-0.0262048581	0.0755814963	0.0697806376	-0.0869558323	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0306324	-6.019999999999984e-05	3.6240399999999804e-09	0.00093834392976	0.0335137	-0.0132016999999999	0.0001742848828899	0.00112316808769	-0.244158	0.000131	1.7161000000005238e-08	0.0596131289639999	2.38607e-05	-0.0005520513	5.6933300449e-10	3.0476063783169e-07	0.000500177	-8.754100000000001e-05	2.50177031329e-07	7.663426681000001e-09	-0.0007466019999999	9.644200000010004e-05	5.574145464038507e-07	9.301059364019297e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5447.4308532331615	13.752793185482917	189.1393204026653	29674502.90075657	9473.703381771573	11.136342462164976	89751055.76579013	124.01812343461869	5174.330356536556	10.031666787896938	26773694.63857572	100.63433854339448	6187.360233761594	6337.059461539355	0.97881	28.986412	0.043968415	0.0247787	0.0340090011	0.0285681018	-0.0386303328	0.0403380141	0.1259791973	-0.1158830474	-0.0024750551	-0.0113010242	0.0077703376	-0.033737343	-0.0113499052	-0.0358593128	0.0092766219	0.0221389764	-0.0174531407	-0.0147122218	0.0637038034	-0.0349875164	0.0750256859	-0.0119566881	-0.0074849947	0.0697463013	-0.036546553	0.0951047791	0.1099797943	0.0708324904	-0.0361067539	-0.1099916363	-0.0956586199	-0.0271614995	0.0037415383	0.0690734884	0.024456873	0.0720320374	0.0356870924	-0.0246719077	0.0553286157	0.0608996403	-0.0430974174	-0.1050887891	-0.0722153609	0.0345202264	-0.079040168	0.2229416442	0.1337107525	-0.0101266143	0.0075858541	0.0364084807	0.021138531	-0.0318978026	-0.0275251779	0.0106919328	-0.0464113838	-0.0165623861	-0.0780603984	-0.0982691807	0.0585087568	-0.016766092	-0.0439603855	-0.0371270741	-0.1314566855	0.1391235323	-0.0381497691	-0.0105344679	-0.0350430975	-0.0260759542	-0.0026977032	0.1443958957	0.0604982895	-0.0454809345	-0.0070362764	0.0155988131	-0.0339609116	0.0697320961	0.0243840259	0.0367898975	-0.0002045484	0.0539459822	-0.0192236872	0.0260319643	-0.0610346152	-0.004669341	-0.0422642066	-0.0449606412	-0.0562411704	-0.0196286249	-0.0065008612	-0.0873546481	-0.0144345383	0.0202819977	0.008506315	0.0250579265	-0.0049485921	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0235036	0.0071288	5.081978944000001e-05	0.00055241921296	0.0373028	0.0037890999999999	1.4357278809999974e-05	0.0013914988878399	-0.247601	-0.003443	1.1854249000000012e-05	0.0613062552009999	0.000338505	0.0003146443	1.1458563502500001e-07	9.900103552249e-08	0.000502104	1.9269999999999834e-06	2.52108426816e-07	3.713328999999936e-12	-0.000471023	0.0002755789999999	2.21862666529e-07	7.594378524094488e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5456.905304039298	9.4744508061367	89.7652180779044	29777815.497252222	9451.08849123969	-22.614890531882335	89323073.66924334	511.4332737690214	5175.634992630403	1.304636093846966	26787197.57694031	1.7020753373682698	6187.11871758919	6411.702384742848	0.991366	29.358252	0.0219560999999999	0.0125089	0.0401772101	0.0028526579	0.0427724632	-0.060464991	-0.1392915399	0.1240116384	-0.0135063736	-0.021175619	-0.0046170787	0.016686769	-0.0160894127	-0.0377189597	0.0196228334	-0.0057737464	-0.0192250084	0.0250069946	0.086513541	-0.0400780606	0.0749894641	0.1046443432	0.0782250876	0.0376786731	0.0015912383	-0.1714040322	0.0463271795	-0.0018772717	0.127954101	-0.1093023478	0.0234483397	-0.0401608198	-0.0096972719	-0.0119186731	-0.0443054901	-0.1063018329	-0.0195016439	0.0360797991	0.1113442654	0.000420102	0.0571861625	-0.1459075962	0.0229504479	0.0766960716	0.0131815184	-0.116822848	-0.0765105696	-0.0181010859	-0.0198989577	0.0284325565	0.0218215749	-0.0127768109	-0.0088820154	-0.0552699765	-0.0521112219	0.0422869389	-0.1038794199	-0.059373147	0.0482642297	0.0914303408	0.0097004265	0.019421761	0.1931587886	-0.0149448407	0.0201745534	-0.0209943591	0.0525034312	-0.0955666262	-0.0950988674	0.0564995736	-0.0473537038	-0.0445248457	-0.0265028501	-0.0008097816	-0.0163519152	0.0529431848	0.022014823	0.0387103068	-0.0049774	0.0329571689	0.0180664295	0.0225790997	-0.0230083984	-0.0406166626	-0.026203906	-0.0668308148	0.1506384877	0.0610508651	0.0554684153	0.0945801693	-0.0050851258	-0.0697998038	0.0572377351	-0.0329118033	0.01377563	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0129202	0.0105834	0.00011200835556	0.0001669315680399	0.0429371	0.0056343	3.174533649000002e-05	0.00184359455641	-0.246334	0.0012669999999999	1.6052889999999757e-06	0.060680439556	0.000367138	2.8632999999999968e-05	1.34790311044e-07	8.198486889999982e-10	0.000450646	-5.145799999999994e-05	2.0308181731600006e-07	2.6479257639999933e-09	-0.000461686	9.336999999999995e-06	2.13153962596e-07	8.717956899999992e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5431.66065184203	-25.244652197267897	637.2924645610228	29502937.43676899	9430.211137630658	-20.87735360903207	88928882.10029332	435.8638937165644	5166.056365022994	-9.578627607408636	26688138.36659459	91.75010684141088	6175.017029697083	6281.857582935773	1.014518	30.043879	0.03629705	0.0178166	0.0367474735	0.0069247308	0.0466711163	0.0126598511	0.1063278649	-0.0954886902	-0.0721559964	-0.0151690454	-0.0028183621	-0.0424324065	-0.0309418956	-0.0281461867	-0.0218232475	-0.0185963057	-0.0149469034	-0.0848651155	0.135944427	-0.0160950217	0.0528832326	-0.0458502936	-0.0064984678	0.0809642386	0.0457479072	0.0594705125	-0.0916997097	-0.0678357532	-0.0465116797	-0.0867899107	-0.0097112625	-0.0920687462	-0.0242288794	0.0672801511	0.123163246	-0.0594754668	0.1560467938	-0.1055678471	-0.016204357	0.0548475479	-0.0150015221	0.0782670654	0.1551870819	0.0022100746	0.1178798781	-0.1136214467	0.0212468607	-0.0203439158	-0.0096392443	0.0314033988	-0.0433646213	0.009204648	0.0088136237	-0.0308880054	0.0861788594	-0.1315244671	-0.0279367045	-0.0193924011	0.0140595353	-0.0837771075	0.0737907337	0.0064892572	-0.0527353149	0.081334363	-0.1438275192	0.083204729	-0.0905722083	-0.1308593196	-0.0694835993	-0.0247125052	-0.0480839108	-0.0466414728	-0.0182150525	0.0002382171	-0.0397301299	0.0401787729	0.0087161602	0.0334383725	-0.005815044	0.0517892416	0.0187035214	0.0246173332	-0.097171022	-0.0242345119	-0.0264728745	0.0273047173	-0.0794598586	-0.0033846092	0.088937798	-0.1451572338	-0.0026504398	0.0262070259	0.0820049971	-0.037393556	0.0937475827	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0257785	-0.0128583	0.00016533587889	0.00066453106225	0.0537992	0.0108621	0.0001179852164099	0.0028943539206399	-0.241447	0.004887	2.3882769000000023e-05	0.0582966538089999	0.000466299	9.9161e-05	2.17434757401e-07	9.832903921000002e-09	0.000450646	0.0	2.0308181731600006e-07	0.0	-0.000407054	5.463199999999999e-05	1.6569295891600004e-07	2.9846554239999987e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5441.240537720828	9.57988587879754	91.77421345078452	29607098.589336444	9459.654676797256	29.443539166597475	89485066.60425219	866.9219986549596	5174.501097501859	8.444732478864353	26775461.60804794	71.31350663958648	6185.729270854636	6372.641795177457	1.016456	30.101271	0.04882095	0.0224222	0.0469561996	0.0434912917	-0.1443432068	0.0013167979	0.0078520383	0.0896664217	0.0556358339	0.0022388258	-0.0199760158	0.0437453037	-0.0113510203	-0.0133378445	0.0347647456	0.0306074171	-0.0909574869	-0.000467991	0.0303946391	-0.0086244351	0.0412439132	-0.0099950032	-0.1676092644	-0.0190143209	-0.0081884964	-0.1027189415	0.01025332	0.1009909508	-0.077441096	0.090428311	0.0969773225	-0.0019130271	-0.0008711618	0.0207331323	-0.0862206056	-0.0483102371	-0.047934689	0.0363001892	0.028223155	-0.0052956136	0.0692039504	0.057058902	-0.2640043595	-0.058246838	0.0239805388	-0.0987047344	0.0182779712	-0.0115255194	-0.0123018211	0.0080969435	0.061603237	0.028199249	-0.0083770271	-0.0475864841	0.0034416224	-0.0836355006	-0.0072341177	-0.0378158339	-0.1424954751	0.0832945134	0.0841929269	-0.0636905274	-0.0587438953	-0.1925302461	0.0774310082	0.0479273843	-0.0441471131	0.1150869159	0.0403633277	-0.0266009639	-0.1163779966	-0.0381056178	0.003674726	0.0034377154	-0.0571536776	0.0262860408	-0.0012729575	0.0092505841	-0.0339822626	0.0469688293	-0.0240503114	0.0044152556	-0.0281579859	-0.0418374074	-0.0207801585	-0.1341911277	0.0677737494	0.0050417766	-0.0698928117	-0.0005097095	0.058888206	-0.0072259734	-0.0338107731	-0.0006114579	-0.0596428121	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0166945	0.0090839999999999	8.251905599999997e-05	0.00027870633025	0.04706	-0.0067392	4.541681664000001e-05	0.0022146436	-0.230115	0.011332	0.000128414224	0.0529529132249999	0.000560066	9.376700000000004e-05	3.136739243560001e-07	8.792250289000006e-09	0.000450646	0.0	2.0308181731600006e-07	0.0	-0.0007466019999999	-0.0003395479999999	5.574145464038507e-07	1.1529284430393209e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5443.041461040126	1.8009233192979082	3.2433248019909957	29626700.34660183	9486.720047651284	27.065370854028515	89997857.2625088	732.5342994660963	5176.074519547097	1.573422045238658	26791747.431904715	2.475656932443002	6195.358528469023	6356.806628775775	1.011237	29.946701	0.0607164999999999	0.0319744	0.0200034601	-0.0617012756	0.0403979447	-0.040909725	-0.0567827396	-0.0616780479	-0.1329690008	-0.0079599058	0.0060610445	-0.0091349714	-0.0146993998	-0.0136187948	0.0227083768	0.0167524096	-0.0652604321	-0.0038241587	0.0011230336	-0.0721378143	-0.0061781543	-0.018121819	0.0234219971	0.2062006996	0.0394282141	0.0740432802	-0.0041305328	-0.0354636734	0.0884555201	-0.0832877356	0.1209347508	0.0288450021	-0.0256951485	-0.1636681192	-0.0221054275	-0.1842082189	-0.0597527341	-0.0598030998	0.0861238413	-0.0115026127	0.1130162489	0.1184870256	0.1337518162	0.0522244265	-0.0402822644	0.0256169346	0.0387730645	-0.0082130873	-0.0107869688	0.024458787	0.0269802123	-0.0098882043	0.0194444416	-0.0032648068	0.0003401684	0.037942197	-0.0461791027	-0.0464200191	-0.0144044374	-0.0880163925	-0.0935028194	0.1071290172	0.1096061328	0.0052060445	-0.0431948448	-0.0841537754	-0.1771509796	-0.0502615201	-0.0634794742	-0.1244691775	-0.0252926465	-0.035502922	0.0066256667	0.0023556671	-0.031623512	0.0148576172	0.0294266308	0.0103001308	-0.0263078129	0.0337336914	-0.0115637448	0.0324892301	-0.0577225793	-0.0075761559	-0.0550038334	0.0626272652	-0.0300934144	0.0128524858	0.0685054452	-0.0155780416	-0.0615782496	-0.0559810301	0.077916356	0.0562515612	-0.0351140222	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0174012	-0.0007066999999999	4.994248899999966e-07	0.00030280176144	0.0321833	-0.0148767	0.00022131620289	0.00103576479889	-0.213999	0.0161159999999999	0.0002597254559999	0.045795572001	0.000273338	-0.000286728	7.471366224399998e-08	8.221294598400002e-08	0.000450646	0.0	2.0308181731600006e-07	0.0	-0.000452988	0.0002936139999999	2.05198128144e-07	8.620918099594129e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5451.313717662752	8.272256622626628	68.4302296305901	29716821.248378094	9461.35887678885	-25.361170862433937	89517311.79539117	643.1889875135681	5184.948455573118	8.873936026020601	26883690.48695006	78.7467405939063	6196.920420736743	6360.922508018484	0.963561	28.534847	0.05974091	0.025021	0.0339974331	0.0543840001	-0.0752015745	0.0469709354	0.0931596815	-0.0058934644	0.1342260496	-0.0037827667	-0.0291973467	-0.0159629928	0.0034889306	-0.0422396059	0.0130510539	0.0223813373	-0.0524368622	0.0198493548	-0.0397265624	0.0001020948	0.056206375	0.0730213082	-0.1328896661	0.1100509737	-0.0192332564	-0.0341359337	-0.1032249077	0.1474615774	-0.0421616533	-0.0094322779	-0.1350316326	-0.0405326364	0.0356009025	-0.2224581554	0.0575033665	-0.0336061259	0.176248643	0.052942393	-0.2067980694	-0.0230625183	-0.0638118614	0.0033522555	-0.0154625477	0.1092302462	0.0439236935	-0.1007777096	0.0127541784	-0.0039374783	-0.0252191861	0.0204572928	0.0164789077	-0.0018952461	-0.0384954061	0.0265895562	-0.0355318775	-0.0186458332	-0.0602312867	-0.004173291	-0.0680007321	0.0326045807	0.0052094425	0.0211792141	-0.1700185816	0.032556621	0.0664380023	0.1198839957	-0.0465138783	-0.0567934498	-0.0936956387	0.0682925386	0.0227215125	-0.0259000125	0.0037223528	-0.0018576909	-0.013875058	0.0140290777	0.0111189552	-0.0081490148	0.0299893014	0.0133228306	-0.0020610097	-0.0060415293	-0.0291000192	0.0121514114	0.0099228115	-0.1239752775	-0.0580951959	-0.0515573986	-0.0878914042	-0.1145279606	0.0152740229	0.0672895193	-0.0549796582	0.0233576817	0.0103659155	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0089333399999999	0.00846786	7.170465297960165e-05	7.980456355559822e-05	0.0287665	-0.0034167999999999	1.1674522239999984e-05	0.00082751152225	-0.194862	0.0191369999999999	0.0003662247689999	0.037971199044	0.000497446	0.000224108	2.47452522916e-07	5.0224395664000023e-08	0.000306725	-0.000143921	9.4080225625e-08	2.071325424100001e-08	-0.000659344	-0.000206356	4.3473451033600005e-07	4.2582798736e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5450.634023960552	-0.6796937021999838	0.4619835288103203	29709411.263156403	9478.095221226697	16.736344437846128	89834289.02264035	280.10522514222305	5181.495315486955	-3.4531400861624206	26847893.704413265	11.92417645466181	6196.099144885839	6394.106616649332	0.970512	28.740688	0.0450900499999999	0.0314473	0.0134645298	-0.0203863078	0.0335886011	-0.0274770955	-0.1064536717	0.1386848778	-0.0738841967	-0.0028623181	-0.0188202672	0.010014067	0.0105679755	-0.0165327629	0.016465851	-0.0125028492	-0.014465786	-0.0191410644	0.0044575618	-0.0097388392	0.0870373529	0.0273505209	0.0521236813	-0.0670296511	0.033835618	-0.0700477913	-0.0083062496	0.0281384894	0.130065013	-0.0138521511	-0.1287267654	-0.036450561	0.0482178866	0.0146065769	0.0680549501	0.0425841983	-0.0203373957	-0.0473528436	-0.0301505228	-0.0051526699	0.13682175	-0.0037391409	0.0276790674	-0.0441373181	0.0135011734	-0.0847112204	0.1028280985	0.0040823332	-0.0157395902	0.0028513085	0.0158981635	-0.0047023484	0.0079069838	-0.0119284106	-0.0222752452	-0.0279600958	-0.0480060241	0.0092252707	0.0201783936	0.0383239675	-0.0418470178	-0.0335215373	0.1104505689	-0.0889816223	0.0114688691	0.0654001763	-0.0119126961	-0.0303629626	-0.0301101352	0.0566157224	0.1166389573	-0.0226542097	-0.0024164179	-0.0056566542	-0.0105420785	0.0142778948	0.004170458	0.0086876037	-0.0010519037	0.019743479	0.011526231	-0.0094790501	-0.002776261	-0.0408228436	0.0034463658	-0.0348778731	0.1376975951	0.060433515	0.0704270017	0.0446014477	0.0100267571	0.0003523497	0.0375514806	0.0358699331	0.0717611814	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.00907409	-0.00014075	1.9810562500027905e-08	8.23391093281e-05	0.0298482	0.0010816999999999	1.1700748899999956e-06	0.00089091504324	-0.194859	3.0000000000030003e-06	9.000000000018002e-12	0.037970029881	0.000506734	9.287999999999985e-06	2.56779346756e-07	8.626694399999969e-11	-0.000149437	-0.000456162	2.2331416969000004e-08	2.0808377024400003e-07	-0.000247502	0.000411842	6.125724000399998e-08	1.69613832964e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
