onset	duration	trial_type	disobedience	InstructionToButtonTime	InstructionToToneTime	modulation
-33.32	0.0	Unknown2	n/a	n/a	n/a	1
-33.32	0.0	Unknown2	n/a	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	n/a	1
1.0399999999999991	0.0	FixationCross	n/a	n/a	n/a	1
5.439999999999998	0.5	Audio	n/a	n/a	n/a	1
5.439999999999998	3.8200000000000003	Agency	n/a	3.8200000000000003	4.82	0.5379350491740137
5.439999999999998	0.5	AudioDontSendShock	n/a	n/a	n/a	1
5.439999999999998	0.5	AudioInstruction	n/a	3.8200000000000003	4.82	1
7.979999999999997	0.0	Map2	n/a	n/a	n/a	1
9.259999999999998	0.0	Button	n/a	n/a	n/a	1
9.259999999999998	0.0	AgentNoShock	n/a	n/a	n/a	1
10.059999999999999	1.5	WitnessNoShock	n/a	n/a	n/a	1
10.259999999999998	0.2	AudioTone	n/a	n/a	n/a	1
10.259999999999998	0.2	AudioTone	n/a	n/a	n/a	1
10.259999999999998	0.2	Audio	n/a	n/a	n/a	1
10.269999999999998	8.190000000000003	RatingScale	n/a	n/a	n/a	1
18.58	0.0	FixationCross	n/a	n/a	n/a	1
20.450000000000003	0.0	FixationCross	n/a	n/a	n/a	1
26.65	0.5	AudioDontSendShock	n/a	n/a	n/a	1
26.65	0.5	AudioInstruction	n/a	3.530000000000001	4.090000000000003	1
26.65	0.5	Audio	n/a	n/a	n/a	1
26.65	3.530000000000001	Agency	n/a	3.530000000000001	4.090000000000003	-1.1841266347379462
29.18	0.0	Map2	n/a	n/a	n/a	1
30.18	0.0	Button	n/a	n/a	n/a	1
30.18	0.0	AgentNoShock	n/a	n/a	n/a	1
30.540000000000003	1.5	WitnessNoShock	n/a	n/a	n/a	1
30.740000000000002	0.2	AudioTone	n/a	n/a	n/a	1
30.740000000000002	0.2	Audio	n/a	n/a	n/a	1
30.740000000000002	0.0	LogNoShock	n/a	n/a	n/a	1
30.759999999999994	10.05	RatingScale	n/a	n/a	n/a	1
40.919999999999995	0.0	FixationCross	n/a	n/a	n/a	1
42.26	0.0	FixationCross	n/a	n/a	n/a	1
