global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	cosine11	cosine12	cosine13	cosine14	cosine15	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29
5731.157816718168	n/a	32846169.92012976	n/a	6494.542260315466	n/a	42179079.17102352	n/a	5047.93809181981	n/a	25481678.97884543	n/a	5085.137329654573	4899.646129227815	n/a	n/a	n/a	n/a	-0.0138241136	0.0339821356	-0.0317929222	0.0051880491	-0.0326381557	0.0382783785	-0.0153568352	0.0758889279	0.0320634922	-0.0224000452	0.0451580866	-0.0278780299	-0.0087708062	0.0069696824	-0.0022527856	0.0189171788	-0.0302970594	0.0096470058	-0.007033595	0.0171748562	-0.01237679	0.0020296078	-0.0083745656	0.0387843001	-0.0251947947	0.0072315171	-0.0437984068	-0.0282535008	-0.002557361	0.0160624987	-0.0187321172	0.0094399026	0.0031377222	-0.0294801735	0.0222634775	-0.0339192738	0.0090447069	-0.0216524169	0.002483818	-0.0256115363	0.0441878047	-0.0163580834	0.0338400897	-0.0053029045	0.0118072864	-0.0092572521	0.0216874394	-0.014122835	0.0234015582	-0.0089720339	0.0155682685	-0.0536957225	0.0403385676	-0.0915703786	0.0108591293	-0.0388966594	0.0558518579	-0.0038999355	-0.0213868578	0.0437993358	-0.0184247921	0.0021314042	-0.0098837896	0.0021531376	0.0618981658	0.0618973251	0.0618959238	0.0618939621	0.0618914399	0.0618883573	0.0618847142	0.0618805108	0.061875747	0.061870423	0.0618645387	0.0618580942	0.0618510895	0.0618435248	0.0618354001	0.0618267154	-0.10097	n/a	0.0101949409	n/a	-0.0472861	n/a	n/a	0.0022359752532099	0.0460268	n/a	n/a	0.00211846631824	-0.000437371	n/a	1.91293391641e-07	n/a	-1.92754e-05	n/a	3.7154104516e-10	n/a	-0.00119184	n/a	1.4204825856e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5725.608293321226	-5.549523396942277	32782590.3285488	30.79720993320975	6483.813788815941	-10.728471499524858	42039841.24803972	115.10010071611715	5055.2156348079225	7.277542988112145	25555205.114406463	52.962631943820256	5093.780005938323	4970.117408970559	0.727456	22.892763	0.1707733449999999	0.105722	-0.0330803643	0.0261203344	-0.008971225	-0.0291154747	-0.0254648585	-0.0105083457	-0.00785913	0.0113386964	0.0250830165	0.0430236613	0.0495270248	-0.031572804	0.028011774	-0.0133815165	-0.015940359	-0.0132415581	-0.010110621	0.0103555522	0.004981542	-0.0386683112	0.0052492217	-0.0641200752	-0.0125172507	-0.0197446248	-0.0496263433	0.0111343569	-0.0474165138	-0.0327234242	0.0257371649	-0.0014543744	0.0118351963	-0.0319513523	0.0167875859	-0.0212735592	-0.0163008552	0.0111233529	0.0211574722	-0.0284791148	0.006957078	0.0583871457	0.0235041899	0.00438689	0.0149810428	-0.0055751959	-0.004674934	-0.0283423422	0.0293533799	0.000586233	0.0093985514	-0.0541817886	0.0163393281	0.027482997	0.0464951488	-0.048377735	0.0142826376	0.0013088103	0.0114739514	-0.0106377321	0.0209739026	-0.0083584071	-0.0469057941	-0.0137676843	-0.0115155132	0.0017886057	0.0618959238	0.0618883573	0.061875747	0.0618580942	0.0618354001	0.0618076667	0.0617748961	0.0617370911	0.0616942548	0.0616463906	0.0615935025	0.0615355947	0.061472672	0.0614047395	0.0613318027	0.0612538676	-0.0971128	0.0038572	0.00943089592384	1.487799184000004e-05	-0.0311071	0.016179	0.000261760041	0.0009676516704099	-0.0475059	-0.0935327	0.00874836596929	0.00225681053481	0.000149476	0.0005868469999999	2.2343074576e-08	3.44389401409e-07	9.84515e-05	0.0001177269	9.69269785225e-09	1.385962298361e-08	-0.0007523249999999	0.0004395150000001	5.659929056248496e-07	1.9317343522508788e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5718.4424883627335	-7.165804958492117	32700584.49271217	51.34876070315021	6510.988053989254	27.17426517331296	42392965.43919077	738.4406877095297	5051.835474591501	-3.380160216421245	25521041.66234114	11.42548308867692	5088.914076349268	4910.68015557509	0.708788	22.305288	0.19368065	0.110968	-0.0242948243	0.0574037841	-0.0022354313	-0.0421916181	-0.0308024563	-0.013108163	-0.0262424617	0.0366997855	0.068612335	-0.0099271358	-0.0472497112	-0.0282922533	-0.0127958943	0.0264939233	0.0499517245	0.02830583	-0.0349144641	-0.0104875273	-0.0269122597	-0.0095378146	-0.0100250941	-0.0366202089	-0.0064663026	-0.0241954758	-0.0128851398	0.00789559	-0.0781643501	-0.027948436	-0.0046117474	0.0251756428	-0.0039768675	0.0611650429	0.0389961597	-0.0098271195	-0.0074923981	-0.0324387024	0.0145525581	-0.0202415235	-0.0037027418	-0.0086886069	0.0515376049	-0.0157974785	0.0308942216	0.0037564317	0.0261540447	-0.0015292267	0.0161871857	-0.0580121438	0.0614177687	0.0254859523	0.0088907663	0.0053586312	0.0306963894	-0.0466602921	0.0225878747	-0.0148451304	0.049237337	0.0535971515	0.0059678109	-0.0585535437	-0.0642054852	-0.0897476842	0.0510638654	0.0120360913	0.0618914399	0.061870423	0.0618354001	0.0617863791	0.0617233712	0.0616463906	0.0615554548	0.0614505842	0.0613318027	0.0611991372	0.0610526176	0.0608922772	0.0607181522	0.0605302821	0.0603287093	0.0601134796	-0.0924367	0.0046761	0.0085445435068899	2.1865911210000024e-05	-0.0745317999999999	-0.0434246999999999	0.0018857045700899	0.0055549892112399	0.0341665	0.0816724	0.00667038092176	0.00116734972225	-0.00089034	-0.001039816	7.927053156e-07	1.0812173138560002e-06	9.84515e-05	0.0	9.69269785225e-09	0.0	-0.000990658	-0.000238333	9.81403272964e-07	5.6802618889047634e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5718.800228668421	0.357740305687912	32704676.05541799	0.1279781263136807	6501.005427970698	-9.982626018555491	42263071.57450448	99.65282222634109	5063.70602848037	11.870553888868926	25641118.74286844	140.91004962854117	5100.560019200559	4881.412624595603	0.786572	24.753126	0.086142225	0.0434028	-0.0212282641	0.0389724387	0.005785804	0.0076592835	-0.0302024881	-0.0221656032	-0.0142509787	-0.0151508165	0.0448810136	-0.0409062207	0.0705205873	-0.0335752169	0.0204130771	-0.0348672506	-0.0640416181	-0.010770799	0.0216193509	0.0167009939	-0.0140555818	-0.0113028492	-0.0269087755	0.0517418558	0.0361855834	0.00070594	-0.0484294243	0.0428160308	0.0216907081	-0.0338940858	0.0104589552	-0.021607465	0.0005663455	-0.0719066948	-0.0043604981	-0.0117131367	-0.0142207381	0.0172986201	-0.0215340096	0.0397298061	-0.0027745351	-0.0130173797	0.0340191397	-0.0061675115	0.0274246325	0.020277264	-0.0010581727	-0.0264531418	0.0370167546	0.0200461775	-0.036415545	-0.0149333407	-0.0390838627	-0.0767697976	0.0065188324	-0.0093754594	0.0231702878	-0.0790597431	0.0945056562	0.0526613489	-0.0192376409	-0.0063105762	-0.0049175798	-0.0132559089	0.0585969509	0.0019842377	0.0618847142	0.0618435248	0.0617748961	0.0616788586	0.0615554548	0.0614047395	0.0612267796	0.0610216541	0.0607894539	0.0605302821	0.0602442536	0.0599314955	0.0595921464	0.0592263569	0.0588342893	0.0584161176	-0.0855196	0.0069170999999999	0.00731360198416	4.7846272409999935e-05	-0.0642949	0.0102368999999998	0.0001047941216099	0.00413383416601	0.0485365	0.01437	0.0002064969	0.00235579183225	-0.00116005	-0.0002697099999999	1.3457160025e-06	7.274348409999998e-08	-7.3337e-05	-0.0001717885	5.378315569000001e-09	2.9511288732250005e-08	-0.000339792	0.0006508659999999	1.15458603264e-07	4.2362654995600005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5722.97854005756	4.178311389138798	32752483.36995936	17.458286064606995	6482.167374589333	-18.83805338136517	42018493.87219037	354.87225519916376	5055.63037839276	-8.075650087610484	25559398.52292772	65.21612433752321	5091.35964588146	4869.0168706331615	0.77775	24.475504	0.2360598	0.156364	-0.0134209577	-0.0083307199	0.0003268559	0.0761886987	-0.0271022193	0.0103920447	-0.0757203919	-0.0289189386	-0.016256308	-0.0584938487	0.0384524371	-0.0265505827	-0.0066421341	0.0176377617	-0.0109083623	0.0020331972	0.0072637997	0.010495286	0.0039893486	-0.0077368054	0.0021786494	-0.0554908543	0.0242920394	-0.0375976757	-0.0423413345	-0.0225024722	0.0229291471	-0.0265947001	-0.0152142013	0.011537082	-0.0151968066	-0.0049032747	-0.0188379543	-0.0068781205	0.0233025373	0.0412143203	-0.0617551262	-0.0253319233	0.0381338805	0.0417285097	0.005130383	0.0077246938	0.0092450735	0.0004018674	-0.0076053354	-0.0055854072	0.0052429741	-0.0076052455	-0.0078151243	0.0055923407	-0.0410274752	0.0081424215	0.0187473083	-0.0351896693	-0.0137803994	0.0334396564	0.0149848427	-0.0248116336	-0.0343684768	-0.0014760172	-0.0236367995	0.0243836154	-0.0076574258	-0.0110976454	0.061875747	0.0618076667	0.0616942548	0.0615355947	0.0613318027	0.0610830283	0.0607894539	0.0604512948	0.0600687991	0.0596422472	0.0591719521	0.0586582587	0.0581015437	0.0575022154	0.0568607134	0.0561775082	-0.0860825999999999	-0.0005629999999998	0.0074102140227599	3.16968999999884e-07	-0.0287914	0.0355035	0.00126049851225	0.00082894471396	-0.0811232	-0.1296597	0.01681163780409	0.00658097357824	0.000169674	0.001329724	2.8789266276e-08	1.768165916176e-06	-0.0001359	-6.256299999999999e-05	1.846881e-08	3.914128968999999e-09	-0.000325407	1.4385000000000004e-05	1.05889715649e-07	2.0692822500000016e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5721.117320243788	-1.86121981377255	32731183.39199346	3.4641391951795257	6476.275988742317	-5.891385847015954	41942150.68236028	34.70842719841989	5051.152793484397	-4.477584908362587	25514144.543125227	20.0487666115964	5089.735387699483	4912.392162297877	0.680179	21.404978	0.0784631199999999	0.0383568	-0.0185786994	-0.0082886794	-0.0045190327	0.0459651758	-0.0198301607	0.005822811	-0.0431466754	0.0128941932	-0.0254046938	-0.0259177489	-0.0056189408	-0.0224625264	0.0016108071	0.0020591567	0.0356221093	-0.0089713977	0.0008882087	-0.0238115946	0.0142490786	0.0150103343	-0.0404697284	0.0076521381	0.0275379565	0.0185940771	-0.0160089992	0.0159215369	0.0077289643	-0.0232496862	-0.0006922513	0.0049093308	0.0229803687	0.0308482271	-0.0120642602	0.0120265325	0.0253171149	0.0241133353	0.0033002773	0.0092548899	0.0102212639	-0.0167949663	0.0024875076	0.0098478721	0.0117956729	-0.0048446617	-0.0189838005	0.0066662087	0.0048797223	-0.0269078167	0.015597904	0.0176645473	-0.0072253996	0.0038201572	0.0338594641	0.0081203084	-0.0066739269	0.0030595448	-0.0434613196	-0.0328953427	-0.049929941	-0.0460559194	-0.0435235506	-0.0035907151	-0.0048928713	0.0132473525	0.0618645387	0.0617628537	0.0615935025	0.0613566706	0.0610526176	0.0606816764	0.0602442536	0.0597408283	0.0591719521	0.0585382483	0.057840411	0.0570792049	0.056255464	0.0553700906	0.0544240547	0.053418393	-0.0845443	0.0015382999999998	0.00714773866249	2.366366889999678e-06	-0.0378973	-0.0091059	8.291741481000001e-05	0.00143620534729	-0.106877	-0.0257537999999999	0.0006632582144399	0.011422693129	0.000115686	-5.3988e-05	1.3383250596e-08	2.914704144e-09	-0.000543538	-0.000407638	2.95433557444e-07	1.66168739044e-07	5.42694e-05	0.0003796764	2.94516777636e-09	1.4415416871695998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5730.133758832854	9.016438589066638	32834432.894115936	81.29616483040999	6503.584644956416	27.308656214098846	42296613.23411287	745.7627042198395	5050.170026741173	-0.9827667432236922	25504217.298994943	0.9658304715865024	5091.90640768082	4932.613629817314	0.683793	21.518721	0.06170292	0.0281551	-0.0220912954	-0.0107058927	-0.003558189	0.0303831173	-0.0275997609	0.0111587421	0.0159516275	0.0449338557	-0.0292539152	0.0580675357	0.0264618926	-0.0193546323	0.016192108	-0.0621766032	-0.0098290573	-0.0057369339	0.0190257938	0.0008127172	0.0097330524	-0.0040093051	0.0029868157	0.0334102248	-0.0205631636	0.0262919019	-0.012186637	-0.0158144736	-0.056816758	-0.0216052552	0.0115732943	-0.0416892993	0.0295032078	-0.0306459689	-0.0346271026	-0.0185398536	0.0026355101	0.0045230761	0.0123504189	-0.0029265931	-0.0435821071	-0.0317887587	-0.0030650561	0.008750957	0.0090540343	-0.0050763373	-0.0211071965	-0.0078578225	0.0159336271	0.0132203748	-0.0188239262	-0.0221661732	0.005698921	-0.008593168	0.0233957631	-0.0021130604	0.0005018585	-0.0235089523	-0.0204110578	-0.0345132264	-0.0264863897	0.0386221489	-0.0089617768	0.036543316	-0.0130451193	-0.0125900381	0.0618510895	0.0617090924	0.061472672	0.06114219	0.0607181522	0.0602012073	0.0595921464	0.0588919013	0.0581015437	0.0572222828	0.056255464	0.0552025666	0.0540652019	0.05284511	0.0515441579	0.0501643362	-0.067245	0.0172993	0.004521890025	0.00029926578049	-0.0269435	0.0109538	0.00011998573444	0.00072595219225	-0.0987664	0.0081105999999999	6.578183235999993e-05	0.00975480176896	-0.000131162	-0.000246848	1.7203470243999996e-08	6.0933935104e-08	-0.000543538	0.0	2.95433557444e-07	0.0	-0.000205667	-0.0002599364	4.2298914889e-08	6.756693204496001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5741.528564592066	11.394805759211522	32965150.258026622	129.84159829016008	6508.345856700289	4.761211743872991	42358565.79042782	22.66913726999409	5062.726224191324	12.556197450150648	25631196.82111454	157.65809440716964	5101.962400609605	5001.420966570244	0.658184	20.712818	0.0563613775	0.0287275	-0.0335267997	-0.0090210891	-0.0157337007	-0.0164171192	-0.0267494447	0.0041853725	0.0234032895	-0.0202755484	-0.0301322058	0.0861585222	-0.0093014905	-0.0235181744	0.0068303847	-0.0260094416	-0.025607357	-0.0087231104	0.0199670224	0.0195186181	-0.0119110268	0.0069307747	0.0245246374	-0.0379649968	-0.0045826359	-0.0006544632	0.0179845664	0.0058625997	0.0124304982	-0.0243827903	0.0018521841	-0.0176603413	0.0177151289	-0.0394975738	-0.0217636158	-0.0232638003	-0.0062420917	-0.0283553366	-0.0002434519	-0.0267435106	-0.0130984971	0.027241172	-0.0017744898	0.0103623926	0.0054925182	-0.019353689	-0.0304403767	-0.0073571233	0.014902815	0.021993781	-0.0077571288	-0.0339826254	0.0163218593	0.026189744	0.0261795549	-0.01957371	-0.0055767931	0.0024027807	-0.0007907892	-0.0112152051	0.0009972683	0.0318238291	-0.0172718749	0.0082051582	-0.0171553373	-0.0321650779	0.0618354001	0.0616463906	0.0613318027	0.0608922772	0.0603287093	0.0596422472	0.0588342893	0.0579064813	0.0568607134	0.0556991158	0.0544240547	0.0530381277	0.0515441579	0.0499451886	0.0482444772	0.046445488	-0.0659448	0.0013002	0.00434871664704	1.6905200400000036e-06	-0.0160831	0.0108604	0.0001179482881599	0.0002586661056099	-0.106812	-0.0080456	6.473167936e-05	0.011408803344	-5.95045e-06	0.00012521155	3.54078552025e-11	1.5677932253402497e-08	-0.00102169	-0.000478152	1.0438504561e-06	2.2862933510400005e-07	-0.000325407	-0.0001197399999999	1.05889715649e-07	1.4337667599999996e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5743.741365264497	2.212800672431513	32990564.87105047	4.896486815913355	6538.780220405443	30.434363705154283	42755646.77076546	926.2504941376123	5066.350183414494	3.6239592231695497	25667904.180984072	13.133080451195646	5106.16795881015	4979.902950546697	0.693931	21.837753	0.0613424075	0.0325132	-0.0302768918	-0.0010285391	-0.0090170338	-0.0311887161	-0.0300828695	0.000891208	0.0299005828	-0.014472222	0.000245657	0.0052143445	-0.0741061824	-0.0211755316	-0.018589795	0.0065301439	0.0308324271	0.0034548045	-0.0134073257	0.0017233154	0.0015467087	0.023417388	0.0060948455	-0.0404613634	-0.0065365002	-0.020307759	0.036141115	-0.0199477057	-0.0398323632	-0.0210810328	-0.0145487703	0.007249359	0.0072731489	0.0374745572	0.0047342012	0.0090995191	-0.0047815327	-0.0270992001	0.016095143	-0.0204884989	0.0101892582	0.0014953826	-0.0019156998	0.0075084011	0.0086195758	-0.0194495455	-0.008023763	0.0106305807	-0.0011660168	-0.0079908095	0.0257383312	0.0198555696	-0.0341414848	0.063078496	0.0157518039	-0.0055567699	-0.013466759	0.0331267276	0.0269082961	0.0491033394	0.0047999218	-0.0313484288	-0.0244889582	-0.0163458387	-0.0227858265	-0.0031720772	0.0618174709	0.0615747574	0.0611709406	0.0606070769	0.0598846417	0.0590055251	0.0579720273	0.0567868522	0.0554531008	0.0539742627	0.052354207	0.0505971725	0.0487077563	0.0466909017	0.0445518857	0.0422963048	-0.0611995	0.0047453	0.0037453788002499	2.251787209000001e-05	0.00450018	0.02058328	0.0004236714155583	2.02516200324e-05	-0.106889	-7.699999999999374e-05	5.928999999999036e-09	0.011425258321	-0.000120634	-0.00011468355	1.4552561956e-08	1.31523166406025e-08	-0.00062847	0.00039322	3.949745409e-07	1.5462196840000004e-07	-0.000114574	0.000210833	1.3127201476000002e-08	4.4450553889e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5735.78047816254	-7.960887101957269	32899177.693670496	63.3757234501096	6505.660515424061	-33.11970498138271	42323618.74194765	1096.9148580538267	5066.656523120542	0.306339706048675	25671008.323279943	0.0938440155019886	5102.154142877258	4947.019385646977	0.681691	21.452555	0.04668838	0.0256924	-0.0217042309	-0.0151640357	-0.0023042283	-0.002548111	-0.018469476	0.0014549645	0.0270636717	-0.0214183844	0.0135185597	-0.0758881809	-0.0332232891	-0.0179999305	-0.0291303964	0.0235304439	0.0460073262	0.040303059	-0.0012673521	0.016238146	-0.0090876013	-0.0146241608	-0.018203453	0.0326501835	0.0208050396	-0.0190563575	0.013427212	-0.0121682089	0.0626046999	-0.0170806352	-0.0223777184	0.0005287152	-0.0182732161	0.0720723495	-0.0025790467	0.0087547538	0.0078289617	0.0038614852	-0.0334137492	0.0612612668	0.0063335546	-0.0018981414	-0.0092852951	0.0105873284	0.0041966479	-0.0141710611	-0.0110102755	0.0158561417	-0.0059826752	-0.0197036005	0.0096431112	0.0294580803	-0.0431150848	-0.0105667381	0.0191229457	0.0428458072	-4.54276e-05	-0.0093603984	0.0016079448	0.0512221884	-0.036752909	-0.0487602693	-0.0051667325	0.0048292022	0.011633453	0.0283386136	0.0617973027	0.0614942031	0.060990138	0.0602867544	0.0593863512	0.058291871	0.0570068904	0.0555356089	0.0538828347	0.0520539692	0.0500549891	0.0478924271	0.0455733507	0.0431053387	0.0404964566	0.0377552304	-0.0635096	-0.0023101	0.00403346929216	5.336562010000011e-06	-0.0159811	-0.02048128	0.0004194828304384	0.00025539555721	-0.106932	-4.300000000000137e-05	1.8490000000001174e-09	0.011434452624	-0.000331067	-0.000210433	1.09605358489e-07	4.4282047489e-08	-0.000572657	5.581300000000004e-05	3.27936039649e-07	3.1150909690000046e-09	-0.000325408	-0.000210834	1.0589036646400001e-07	4.445097555600001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
