onset	duration	trial_type	disobedience	InstructionToButtonTime	InstructionToToneTime	modulation
-28.7	0.0	Unknown2	n/a	n/a	n/a	1
-28.7	0.0	Unknown2	n/a	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	n/a	1
1.0300000000000011	0.0	FixationCross	n/a	n/a	n/a	1
1.8300000000000018	0.5	Audio	n/a	n/a	n/a	1
1.8300000000000018	4.640000000000001	Agency	n/a	4.640000000000001	5.589999999999996	0.9847646012916248
1.8300000000000018	0.5	AudioDontSendShock	n/a	n/a	n/a	1
1.8300000000000018	0.5	AudioInstruction	n/a	4.640000000000001	5.589999999999996	1
4.360000000000003	0.0	Map1	n/a	n/a	n/a	1
6.470000000000002	0.0	Button	n/a	n/a	n/a	1
6.470000000000002	0.0	AgentNoShock	n/a	n/a	n/a	1
7.219999999999998	1.5	WitnessNoShock	n/a	n/a	n/a	1
7.419999999999998	0.2	AudioTone	n/a	n/a	n/a	1
7.419999999999998	0.2	AudioTone	n/a	n/a	n/a	1
7.419999999999998	0.0	LogNoShock	n/a	n/a	n/a	1
7.429999999999998	10.260000000000003	RatingScale	n/a	n/a	n/a	1
17.81	0.0	FixationCross	n/a	n/a	n/a	1
19.610000000000003	0.0	FixationCross	n/a	n/a	n/a	1
20.41	0.5	AudioDontSendShock	n/a	n/a	n/a	1
20.41	0.5	AudioInstruction	n/a	4.609999999999999	5.469999999999999	1
20.41	0.5	Audio	n/a	n/a	n/a	1
20.41	4.609999999999999	Agency	n/a	4.609999999999999	5.469999999999999	0.3310440746774306
22.94	0.0	Map2	n/a	n/a	n/a	1
25.02	0.0	Button	n/a	n/a	n/a	1
25.02	0.0	AgentNoShock	n/a	n/a	n/a	1
25.68	1.5	WitnessNoShock	n/a	n/a	n/a	1
25.88	0.2	AudioTone	n/a	n/a	n/a	1
25.88	0.2	Audio	n/a	n/a	n/a	1
25.88	0.0	LogNoShock	n/a	n/a	n/a	1
25.89	11.060000000000002	RatingScale	n/a	n/a	n/a	1
37.06	0.0	FixationCross	n/a	n/a	n/a	1
38.59	0.0	FixationCross	n/a	n/a	n/a	1
42.39	4.780000000000001	Agency	n/a	4.780000000000001	5.039999999999992	1.6628906942327493
