onset	duration	trial_type	InstructionToButtonTime	InstructionToToneTime	modulation
-29.3	0.0	Unknown2	n/a	n/a	1
-29.3	0.0	Unknown2	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	1
1.0299999999999976	0.0	FixationCross	n/a	n/a	1
4.23	0.5	Audio	n/a	n/a	1
4.23	4.219999999999999	Agency	4.219999999999999	4.899999999999999	1.7218845262268283
4.23	0.5	AudioYouCanChoose	n/a	n/a	1
4.23	0.5	AudioInstruction	4.219999999999999	4.899999999999999	1
6.77	0.0	Map2	n/a	n/a	1
8.25	1.5	WitnessShock	n/a	n/a	1
8.45	0.0	AgentShock	n/a	n/a	1
9.129999999999999	0.2	AudioTone	n/a	n/a	1
9.129999999999999	0.2	AudioTone	n/a	n/a	1
9.129999999999999	0.2	Audio	n/a	n/a	1
9.139999999999997	0.0	LogShock	n/a	n/a	1
9.149999999999997	10.190000000000003	RatingScale	n/a	n/a	1
19.459999999999997	0.0	FixationCross	n/a	n/a	1
21.359999999999996	0.0	FixationCross	n/a	n/a	1
22.16	0.5	AudioYouCanChoose	n/a	n/a	1
22.16	0.5	AudioInstruction	4.839999999999996	5.409999999999997	1
22.16	0.5	Audio	n/a	n/a	1
22.16	4.839999999999996	Agency	4.839999999999996	5.409999999999997	3.439833051788602
24.69	0.0	Map2	n/a	n/a	1
26.999999999999996	0.0	Button	n/a	n/a	1
26.999999999999996	0.0	AgentNoShock	n/a	n/a	1
27.369999999999997	1.5	WitnessNoShock	n/a	n/a	1
27.569999999999997	0.2	AudioTone	n/a	n/a	1
27.569999999999997	0.0	LogNoShock	n/a	n/a	1
27.569999999999997	0.2	AudioTone	n/a	n/a	1
27.58	10.060000000000002	RatingScale	n/a	n/a	1
37.75	0.0	FixationCross	n/a	n/a	1
39.34	0.0	FixationCross	n/a	n/a	1
41.94	3.680000000000007	Agency	3.680000000000007	3.960000000000008	0.4253196012745606
41.94	0.5	AudioYouCanChoose	n/a	n/a	1
41.94	0.5	AudioInstruction	3.680000000000007	3.960000000000008	1
41.94	0.5	Audio	n/a	n/a	1
44.47	0.0	Map2	n/a	n/a	1
45.42	1.5	WitnessShock	n/a	n/a	1
45.620000000000005	0.0	AgentShock	n/a	n/a	1
