global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02
5860.392658059952	n/a	n/a	34344202.106642984	9084.538057279406	n/a	n/a	82528831.71415788	5260.039654419812	n/a	27668017.166068897	n/a	5530.031255218933	7761.550397642487	n/a	n/a	n/a	n/a	-0.0062802629	0.1175427948	-0.0047168103	-0.0156862363	0.0285065596	0.0687201053	-0.081820668	0.0694276598	-0.0240683615	0.0426669362	-0.1809218972	0.0230113985	-0.0598489786	0.0377371922	-0.1044043563	0.0018084457	-0.0114273349	0.0322419892	-0.0541559624	0.0500645982	-0.0320194385	0.1205542748	-0.0132386469	0.0040518832	-0.1456353883	0.0241496548	0.010196582	-0.1098991358	0.0313093229	-0.0360608317	0.2191089488	-0.1116594371	0.0123965064	-0.1778687715	0.0175953376	-0.0843360537	0.0584875228	-0.0400448184	0.0965373865	-0.0575914843	0.1492978304	-0.0606029368	0.1888872828	-0.0310650515	0.1413514786	-0.0372010286	0.1366265229	-0.0199034104	0.1004426734	-0.0149757222	0.1290883846	0.1290552057	0.1289999139	0.1289225186	1.24807e-05	n/a	1.5576787249e-10	n/a	0.0343183	n/a	n/a	0.00117774571489	-0.0948409	n/a	n/a	0.00899479631281	0.00031893	n/a	n/a	1.017163449e-07	-5.40757e-05	n/a	2.92418133049e-09	n/a	0.000986027	n/a	9.72249244729e-07	n/a	0.0	0.0	0.0
5846.546886109053	-13.84577195089878	191.7054009162954	34182110.49147146	9101.624083034018	17.08602575461191	291.93227608726147	82839560.94886482	5245.241341728168	-14.798312691644242	27512556.73297431	218.99005851967905	5517.599712568405	7717.747181510326	0.713624	20.803843	0.02457744662	0.0153999	-0.0119696092	-0.0474654441	0.0037686076	-0.021631936	0.0046041501	-0.0104805215	-0.0695654318	-0.103683471	-0.0670197483	-0.0919653956	0.0312066852	0.0496001346	0.0234707514	-0.0721864901	-0.0319052495	-0.1267247104	-0.0158567215	0.0113338238	0.0213508092	0.035090576	-0.0933202996	0.0011389464	0.0966041074	-0.1283457731	-0.0009589799	0.079371864	0.0064955191	-0.0732202827	-0.0444051699	0.0494599649	0.221868792	-0.1966673301	0.0892987929	-0.0838935716	0.0388277483	-0.0671944923	0.0019931398	-0.0505976195	0.0689617671	-0.1414808367	0.1120175507	0.106449283	0.0700848378	0.0060842957	0.0966942466	0.1058864949	0.0031534696	-0.1362431121	-0.0098771912	-0.1121975322	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-4.84592e-06	-1.732662e-05	2.34829406464e-11	3.0021176062439995e-10	0.0328744	-0.0014439	2.0848472100000143e-06	0.00108072617536	-0.0831428	0.0116981	0.00013684554361	0.00691272519184	0.000218289	-0.0001006409999999	1.0128610880999996e-08	4.7650087521e-08	-5.45511e-05	-4.753999999999989e-07	2.97582251121e-09	2.260051599999989e-13	0.0008587809999999	-0.000127246	7.375048059608282e-07	1.6191544516025446e-08	0.0	0.0	0.0
5850.252676401764	3.705790292710845	13.732881693549926	34225456.377746	9077.853469811604	-23.77061322241389	565.0420529695979	82407423.61937056	5251.5137456635775	6.272403935409784	27578396.620893497	39.34305112894415	5520.378941699187	7775.916512185559	0.695826	20.284986	0.02995179592	0.0174445	-0.0036194906	-0.1057057438	-0.0105348759	-0.0055874925	-1.90732e-05	-0.0990693052	0.045219162	-0.2102775446	-0.1395895842	-0.0525750055	0.0803325789	0.0020018205	0.0714179902	-0.0621451169	-0.0291639841	0.0043035645	-0.0053906773	-0.0001473985	0.1130588518	-0.0567487572	-0.1129171864	-0.1021332949	0.0212844751	-0.1850368755	0.0738174739	0.1439730343	0.0141352687	-0.0301619193	-0.1208840521	0.0925760178	0.1383334812	-0.2432486673	0.0942962466	-0.0914318657	0.0908819939	0.0598736228	-0.0774009422	-0.0924417547	0.0242289443	-0.0582304217	-0.0223147545	-0.064987848	-0.1786983474	0.0270063769	0.0665299474	-0.0267301395	-0.0801148154	0.0170908406	-0.173210143	0.0012619169	0.1288230331	0.1279949812	0.1266188352	0.124700488	0.0122002	0.01220504592	0.00014884488004	0.0001489631459093	0.0335356	0.0006612	4.371854400000009e-07	0.00112463646736	-0.0918892	-0.0087464	7.649951296000002e-05	0.00844362507664	0.000301481	8.319199999999997e-05	6.920908863999995e-09	9.089079336099998e-08	-5.45511e-05	0.0	2.97582251121e-09	0.0	0.000942372	8.359100000010001e-05	8.88064986384e-07	6.987455281016721e-09	0.0	0.0	0.0
5852.362245498295	2.1095690965312315	4.450281773039596	34250143.85253385	9068.187982346975	-9.665487464628312	93.42164792888704	82232033.28318211	5260.11895347401	8.605207810432148	27668851.40469651	74.04960146072244	5527.069510439328	7756.530866051568	0.675714	19.698675	0.0240391099999999	0.0172386	-0.0129688417	-0.1650068485	-0.0078035974	-0.0097161451	0.0269328926	-0.1645861099	0.0052256308	-0.0595443866	-0.1633079627	0.0160845309	0.0289212274	-0.0119346494	-0.0297412721	-0.0834990105	0.0042829496	0.0600921338	-0.0088540972	0.027169282	0.1604525642	0.0308361699	-0.0797714447	-0.0550646039	-0.0785925564	-0.1475286747	0.0539495826	0.1338454472	0.0289419311	0.064404123	-0.1466534584	0.087511298	0.0770695143	-0.1779827127	0.0639012954	-0.1145755841	0.1212743225	0.2034857579	-0.079737864	-0.0814061101	-0.0239141266	-0.0784291314	0.0703100708	-0.0356651205	-0.0082900434	-0.0947619121	0.0165060241	0.0445537111	0.0484489131	-0.0082862209	-0.0871402378	-0.141533767	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.00689324	-0.0053069599999999	4.75167576976e-05	2.8163824441599995e-05	0.0323586	-0.0011769999999999	1.385328999999994e-06	0.00104707899396	-0.0894081	0.0024811	6.15585721e-06	0.00799380834561	-6.6174400000000014e-24	-0.000301481	9.089079336099998e-08	4.3790512153600007e-47	-5.45511e-05	0.0	2.97582251121e-09	0.0	0.000942372	0.0	8.88064986384e-07	0.0	0.0	0.0	0.0
5860.797585709281	8.435340210985487	71.15496447506868	34348948.34065573	9083.711159688955	15.523177341980045	240.96903479056263	82513808.43265767	5265.307099496716	5.188146022705951	27723458.85201052	26.91685915291957	5533.573085717867	7779.472433689499	0.732209	21.345625	0.0314662752	0.0222802	-0.0104959868	-0.0838241162	-0.0058338316	-0.0094731948	0.0442254224	-0.1306104114	0.0112181431	0.1454948635	-0.1375663279	0.2608139708	0.1334546715	-0.0193909406	-0.109345354	0.1135203882	-0.1471325135	-0.0426183641	-0.0071762805	0.0432214523	0.1358554018	0.0565254982	0.0195124024	0.0038471426	-0.2785385845	0.1041182721	0.0986011398	0.1428900744	0.0438583313	0.1703955849	-0.0489268358	-0.0038553532	-0.0932083925	-0.0883148631	-0.0288307763	-0.134488462	0.1781308761	0.2074734975	0.0323656905	0.0183802493	0.0803084177	0.0012816104	-0.062506903	-0.0118411169	-0.0466093623	-0.0710221134	-0.0381539013	0.1082802168	-0.0182656147	0.1713016588	0.0905491878	0.1832886284	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-3.8302e-06	-0.0068970702	1.4670432040000002e-11	4.756957734372804e-05	0.011881	-0.0204776	0.00041933210176	0.0001411581609999	-0.0894096	-1.5000000000015e-06	2.2500000000045005e-12	0.00799407657216	8.180209999999998e-05	8.180209999999998e-05	6.691583564409997e-09	6.691583564409997e-09	-5.45511e-05	0.0	2.97582251121e-09	0.0	0.000942372	0.0	8.88064986384e-07	0.0	0.0	0.0	0.0
5843.618993758302	-17.178591950978443	295.1040214182213	34147882.944212794	9095.32482266336	11.613662974405088	134.87716768306765	82724933.62975629	5258.352262737945	-6.954836758770398	27650268.51904127	48.36975434114393	5530.779766402878	7711.657122740187	0.717437	20.915005	0.0312966264199999	0.0197864	-0.031727227	0.0577370702	-0.0004639184	-0.0191991837	0.0418602001	0.0150522672	0.0653256853	0.1108076947	0.0159861061	0.0972963111	-0.2831026113	-0.0669595613	0.1213543857	0.0419656266	-0.2262042699	0.0819976245	-0.013015886	0.0464198132	-0.0146825551	0.0344636227	0.0765548904	0.1369004494	-0.1732640648	0.0717455176	-0.2602694649	0.0137953046	0.0535321981	0.0463430331	0.0923226407	0.0247860135	-0.0921851689	-0.1634690568	-0.0646692001	-0.119843726	0.0729271096	-0.005995394	0.0496277192	0.1741438768	0.0416631195	0.1289398264	-0.0304069226	-0.0591024634	-0.1213249953	0.1442965643	-0.097537726	0.1839664101	-0.1402114901	0.1237222398	0.2064943378	0.2141932521	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-6.96162e-06	-3.13142e-06	4.84641530244e-11	9.8057912164e-12	0.0241705	0.0122895	0.00015103181025	0.00058421307025	-0.0894097999999999	-1.9999999989472886e-07	3.999999995789153e-14	0.0079941123360399	0.000166317	8.451490000000002e-05	7.1427683220100035e-09	2.7661344489e-08	-5.45511e-05	0.0	2.97582251121e-09	0.0	0.000646811	-0.000295561	4.18364469721e-07	8.735630472100005e-08	0.0	0.0	0.0
5841.23114271097	-2.387851047332333	5.70183262424612	34119981.262576506	9042.861700719955	-52.463121943404985	2752.379164048581	81773347.7383478	5250.423221613076	-7.9290411248694	27566944.00605383	62.8696931598702	5519.997611163026	7707.840963497821	0.694077	20.234007	0.04763286438	0.0307645	-0.032586755	0.0693374762	-0.028505097	-0.0226776474	0.0026471381	0.0620077476	0.0882320586	0.0088425181	0.0693434798	-0.0053755568	-0.1533807442	-0.0226538108	-0.005027063	-0.0726947391	0.019025012	-0.2433504832	-0.0209515105	0.004528696	-0.0633253244	-0.0929542601	0.1029831211	0.1016479542	-0.0106599196	-0.0255305556	-0.0974061015	-0.0111926488	0.0464183365	0.0122001255	0.1326586831	0.0269360961	0.0211573541	-0.076637672	-0.077438762	0.0141442133	-0.0160967659	-0.0600113697	-0.0198374736	0.1200090413	0.0981095572	0.0511590828	-0.0317039312	0.048109649	-0.1046566335	-0.1353762257	-0.2589612537	-0.1175240205	-0.1031849606	0.0326328608	-0.051959468	0.0590013065	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-1.28224e-06	5.6793800000000005e-06	1.6441394176e-12	3.22553571844e-11	0.00722592	-0.01694458	0.0002871187913764	5.22139198464e-05	-0.0659178	0.0234919999999999	0.0005518740639999	0.00434515635684	3.21219e-05	-0.0001341951	1.8008324864009998e-08	1.03181645961e-09	-5.45511e-05	0.0	2.97582251121e-09	0.0	0.000656428	9.617000000000067e-06	4.30897719184e-07	9.24866890000013e-11	0.0	0.0	0.0
5866.906876730571	25.675734019600892	659.2433174452907	34420596.30022846	9078.185545182589	35.32384446263313	1247.7739876202977	82413452.7927621	5257.9049901434255	7.481768530349655	27645564.88537513	55.97686034173043	5527.693538428048	7767.170376180356	0.753845	21.976374	0.02249084552	0.013911	-0.0155161809	0.1569867382	-0.0139529985	-0.0145751128	0.0111005049	0.1182267287	0.0392613597	-0.0039446617	-0.0993272379	-0.0325457162	-0.0636200012	0.1381148839	-0.1182073374	0.119521588	0.0393840833	-0.0111505375	-0.013136191	0.011840651	-0.1060696648	-0.0517682411	0.0249682544	0.0460228054	0.017381473	-0.1417821882	-0.0590741836	-0.0117781259	0.0172307171	-0.0518909704	0.0941468389	-0.114253282	0.0880313672	0.0386284633	-0.0538478078	-0.0811391173	-0.0532412071	-0.0496349428	0.0002384922	-0.0171128659	0.1112878693	0.1432264563	0.0663151834	0.0948153432	-0.0118604235	-0.0264852131	-0.1171697349	-0.2468535038	0.2002697997	-0.0056019512	0.1213397637	-0.0763689826	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-4.10776e-06	-2.82552e-06	1.6873692217599997e-11	7.983563270399998e-12	0.00723883	1.2909999999999658e-05	1.6666809999999118e-10	5.24006597689e-05	-0.0659295	-1.1700000000003374e-05	1.3689000000007895e-10	0.00434669897025	-0.000140375	-0.0001724969	2.975518050961001e-08	1.9705140625000004e-08	3.57152e-05	9.02663e-05	1.27557551104e-09	8.14800491569e-09	0.000469923	-0.000186505	2.2082762592900002e-07	3.4784115025e-08	0.0	0.0	0.0
5846.519997622278	-20.386879108292305	415.62483977612527	34181796.0825972	9055.6714333639	-22.514111818689344	506.8852309844472	82005185.10904297	5252.7196530790425	-5.18533706438302	27591063.753842816	26.88772047126432	5522.149528575716	7750.295404608529	0.709	20.669027	0.03140520276	0.016982	-0.019674854	0.1307295765	-0.0198173388	-0.0231669918	0.0101574409	0.0964190023	0.1166563696	-0.0791188128	0.0040438006	-0.1581228119	-0.0641361157	-0.0132092038	-0.0093248207	0.1540601974	0.024487748	-0.0758671973	-0.0203488537	0.0108898871	-0.0881598038	-0.0843527546	0.0460154272	-0.0471726212	0.0846057023	-0.0730064566	-0.1214324375	0.0470496552	0.0366504566	-0.0483320005	0.063020918	-0.0954994611	0.0391003421	0.0582814239	0.0953436755	-0.0248139523	0.0276756534	-0.0814870073	0.1111543142	0.0343351283	0.0223636905	0.0361521256	-0.0844749051	-0.0441506155	-0.0937034318	0.0551779318	-0.0660493647	-0.1185212897	0.0501757245	0.0684048202	0.1738515624	0.0098578404	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.00207096	0.00207506776	4.2888753216e-06	4.305906208591419e-06	0.0144828	0.00724397	5.247510136090001e-05	0.00020975149584	-0.0800222	-0.0140927	0.0001986041932899	0.00640355249284	-0.000122216	1.8159000000000014e-05	3.297492810000005e-10	1.4936750656e-08	-5.45511e-05	-9.02663e-05	2.97582251121e-09	8.14800491569e-09	0.000521367	5.144399999999999e-05	2.71823548689e-07	2.646485135999999e-09	0.0	0.0	0.0
5854.280586269187	7.760588646908218	60.22673614652072	34272601.18276829	9111.056220237955	55.38478687405586	3067.4746170845906	83011345.44833674	5257.726801351342	5.007148272299673	27643691.11764821	25.071533820793604	5525.558756112254	7733.361280585682	0.800589	23.33906	0.030547981	0.0231929	-0.0179557869	-0.1146747514	-0.0070103737	-0.0219363011	0.025944468	0.0993112885	-0.1040223863	0.0126342381	-0.0004746836	0.0329034819	0.0791647391	-0.0389949766	0.1117453492	-0.115536903	0.0889687534	0.0500709379	-0.0230056385	0.0284652735	-0.1031735022	0.0669681034	-0.0647907851	-0.0282195113	0.0065888927	-0.0051547371	0.0608942761	-0.0281394296	0.0167760903	-0.1295075515	0.0106560352	0.0553929472	0.0134544945	-0.0853342732	-0.001503288	0.1779456145	-0.1110085353	-0.1204630343	-0.0881372634	-0.0458180618	0.0422039707	0.0205651668	0.0852602519	0.0455277434	-0.0753532862	0.0695213535	0.042283995	-0.0301662774	-0.0599780397	-0.11669207	-0.1013257964	-0.0017014128	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-1.3021e-05	-0.002083981	1.6954644099999998e-10	4.3429768083610015e-06	0.0154366	0.0009537999999999	9.097344399999988e-07	0.00023828861956	-0.0590849	0.0209373	0.0004383705312899	0.00349102540801	-0.000238151	-0.000115935	1.3440924225000002e-08	5.6715898801e-08	-5.45511e-05	0.0	2.97582251121e-09	0.0	0.00053689	1.5523000000000034e-05	2.882508721000001e-07	2.40963529000001e-10	0.0	0.0	0.0
