onset	duration	trial_type	InstructionToButtonTime	InstructionToToneTime	modulation
-29.6	0.0	Unknown2	n/a	n/a	1
-29.6	0.0	Unknown2	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	1
1.0299999999999976	0.0	FixationCross	n/a	n/a	1
6.030000000000001	0.5	Audio	n/a	n/a	1
6.030000000000001	3.529999999999994	Agency	3.529999999999994	4.210000000000001	0.7027077867496544
6.030000000000001	0.5	AudioYouCanChoose	n/a	n/a	1
6.030000000000001	0.5	AudioInstruction	3.529999999999994	4.210000000000001	1
8.559999999999995	0.0	Map1	n/a	n/a	1
9.559999999999995	0.0	Button	n/a	n/a	1
9.559999999999995	0.0	AgentShock	n/a	n/a	1
10.040000000000003	1.5	WitnessShock	n/a	n/a	1
10.240000000000002	0.2	AudioTone	n/a	n/a	1
10.240000000000002	0.0	LogShock	n/a	n/a	1
10.240000000000002	0.2	Audio	n/a	n/a	1
10.26	9.24	RatingScale	n/a	n/a	1
19.629999999999995	0.0	FixationCross	n/a	n/a	1
20.869999999999997	0.0	FixationCross	n/a	n/a	1
24.07	0.5	Audio	n/a	n/a	1
24.07	0.5	AudioYouCanChoose	n/a	n/a	1
24.07	0.5	AudioInstruction	3.1599999999999966	3.729999999999997	1
24.07	3.1599999999999966	Agency	3.1599999999999966	3.729999999999997	-0.9590815727532896
26.6	0.0	Map1	n/a	n/a	1
27.229999999999997	0.0	Button	n/a	n/a	1
27.229999999999997	0.0	AgentShock	n/a	n/a	1
27.599999999999998	1.5	WitnessShock	n/a	n/a	1
27.799999999999997	0.2	AudioTone	n/a	n/a	1
27.799999999999997	0.2	Audio	n/a	n/a	1
27.809999999999995	0.0	LogShock	n/a	n/a	1
27.819999999999997	10.060000000000006	RatingScale	n/a	n/a	1
37.99	0.0	FixationCross	n/a	n/a	1
39.29	0.0	FixationCross	n/a	n/a	1
40.690000000000005	3.3599999999999994	Agency	3.3599999999999994	4.219999999999999	-1.5594138544585359
40.690000000000005	0.5	AudioYouCanChoose	n/a	n/a	1
40.690000000000005	0.5	AudioInstruction	3.3599999999999994	4.219999999999999	1
40.690000000000005	0.5	Audio	n/a	n/a	1
43.21999999999999	0.0	Map2	n/a	n/a	1
44.050000000000004	0.0	AgentNoShock	n/a	n/a	1
44.050000000000004	0.0	Button	n/a	n/a	1
44.71	1.5	WitnessNoShock	n/a	n/a	1
44.910000000000004	0.2	Audio	n/a	n/a	1
44.910000000000004	0.2	AudioTone	n/a	n/a	1
44.910000000000004	0.0	LogNoShock	n/a	n/a	1
44.92	10.059999999999995	RatingScale	n/a	n/a	1
55.089999999999996	0.0	FixationCross	n/a	n/a	1
56.529999999999994	0.0	FixationCross	n/a	n/a	1
62.13	0.5	AudioInstruction	3.9099999999999895	4.759999999999984	1
62.13	0.5	Audio	n/a	n/a	1
62.13	0.5	AudioYouCanChoose	n/a	n/a	1
62.13	3.9099999999999895	Agency	3.9099999999999895	4.759999999999984	-0.042632292468961025
64.65	0.0	Map2	n/a	n/a	1
66.03999999999999	0.0	Button	n/a	n/a	1
66.03999999999999	0.0	AgentShock	n/a	n/a	1
66.68999999999998	1.5	WitnessShock	n/a	n/a	1
66.88999999999999	0.2	Audio	n/a	n/a	1
66.88999999999999	0.0	LogShock	n/a	n/a	1
66.88999999999999	0.2	AudioTone	n/a	n/a	1
66.89999999999999	10.070000000000007	RatingScale	n/a	n/a	1
77.07	0.0	FixationCross	n/a	n/a	1
78.19	0.0	FixationCross	n/a	n/a	1
84.99000000000001	3.4399999999999977	Agency	3.4399999999999977	3.6999999999999886	0.12557675264654616
84.99000000000001	0.5	AudioYouCanChoose	n/a	n/a	1
84.99000000000001	0.5	Audio	n/a	n/a	1
84.99000000000001	0.5	AudioInstruction	3.4399999999999977	3.6999999999999886	1
87.52000000000001	0.0	Map2	n/a	n/a	1
