global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	cosine11	cosine12	cosine13	cosine14	cosine15	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23
6341.807902710101	n/a	40218527.47487629	n/a	7992.448277401912	n/a	n/a	63879229.466944784	5905.427618107437	n/a	n/a	34874075.35270608	6084.765953812206	6870.208542184903	n/a	n/a	n/a	n/a	-0.0240735612	-0.0828201082	0.0209413365	-0.0227373376	0.002666081	-0.0122695024	-0.0295440373	0.0269198503	0.0009626893	-0.0082702915	0.0250775163	-0.0909860564	-0.0157818404	0.1496654214	-0.0429793001	0.0366740761	-0.1091594303	0.0300772028	-0.1418666154	0.3013434255	-0.1629373045	0.0377571494	0.0594773619	-0.1796206952	0.0083269798	-0.025163728	0.0295798029	0.0089879875	-0.0154073956	0.0247420115	-0.0860831621	-0.0138804564	0.1030225506	-0.0311946985	0.0815413141	-0.0482764897	0.032279373	-0.1703391475	0.1381047289	-0.019593211	0.0636624672	-0.0020448527	0.0145458324	-0.0377586757	0.081295441	0.0427180412	-0.0418270814	0.0255749372	-0.0282021404	0.0038395332	-0.0202946165	0.0414167545	-0.0399014165	0.0471363343	-0.0089136283	0.0086086545	-0.0104093325	0.0368502673	0.0102018165	0.0553746522	-0.0537342966	0.0917208112	-0.0260973527	0.1127925103	0.0634997451	0.0634987898	0.0634971976	0.0634949686	0.0634921028	0.0634886002	0.0634844608	0.0634796848	0.063474272	0.0634682227	0.0634615368	0.0634542144	0.0634462556	0.0634376605	0.0634284291	0.0634185616	0.0124128	n/a	0.00015407760384	n/a	-0.0806748999999999	n/a	0.0065084394900099	n/a	0.0839126	n/a	0.00704132443876	n/a	-0.00249342	n/a	6.217143296400001e-06	n/a	-0.000171157	n/a	2.9294718649e-08	n/a	-0.000428274	n/a	n/a	1.8341861907600006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6356.144226981158	14.336324271056585	40400569.4341859	205.53019360488605	7982.779590451682	-9.66868695022913	93.48350734153108	63724769.98973193	5948.676363937924	43.24874583048677	1870.4540159100463	35386750.48287372	6124.896009786115	6976.76005178626	1.119202	32.646492	0.14578688	0.0781164	0.0092600073	-0.00444854	-0.0153613021	-0.0403055334	0.0007167065	0.0051508751	0.0094269668	-0.0005469637	0.0277015629	0.0716752918	-0.0072706195	0.0354133774	-0.0337038776	-0.0258950332	0.0500869863	-0.0063360256	0.0238936846	-0.0353139606	0.1293879538	-0.0641690493	0.0691177239	0.0201652323	0.0180082101	0.0950929332	0.0011091548	0.0086857697	6.33144e-05	-0.0240927238	0.0689636497	-0.0223038579	0.0032991545	0.0398178742	-0.0175053264	-0.0144978477	-0.0211195631	0.0212797532	-0.0353954701	0.0185061489	-0.0545354715	0.086820136	0.0171809071	0.0188196139	0.0015820907	0.0163060915	0.0421699581	0.0217782468	0.0043573238	-0.032368806	-0.0085676977	-0.0122064733	-0.0148282467	0.009091837	0.0215253759	0.0176469823	-0.0278248622	0.0276088362	-0.0133495489	0.0453205094	-0.0329200252	0.0416658946	0.0266414354	0.0551626819	-0.0201557083	-0.0566072815	0.0634971976	0.0634886002	0.063474272	0.0634542144	0.0634284291	0.0633969186	0.0633596855	0.0633167333	0.0632680659	0.0632136877	0.0631536035	0.0630878188	0.0630163395	0.0629391721	0.0628563236	0.0627678014	0.0125912	0.0001784	0.00015853831744	3.1826560000000155e-08	-0.0478978	0.0327770999999999	0.0022941992448399	0.0010743382844099	0.0702653	-0.0136473	0.00493721238409	0.00018624879729	-0.00119442	0.001299	1.4266391364000002e-06	1.6874010000000002e-06	8.52506e-05	0.0002564076	7.26766480036e-09	6.574485733776e-08	0.0	0.000428274	1.8341861907600006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6361.773826870946	5.629599889788551	40472166.2242602	31.692394919107265	8002.407535496866	19.62794504518388	385.2562266967584	64038526.36417703	5940.383061875988	-8.293302061936629	68.77885909052235	35288150.92182314	6117.402519587764	6979.575891665889	0.7963259999999999	23.228367	0.05264279	0.0307145	0.0044958828	0.0108541295	0.0143099161	0.0242311182	0.0084651335	-0.0015789603	-7.47138e-05	0.0137278528	-0.0351931752	0.0037668316	-0.0401179343	0.0001139828	-0.0552076803	-0.0191926014	-0.0350194318	0.0522692408	-0.0339453972	-0.0670980235	-0.0517628871	0.0245938606	-0.0365271793	-0.0200694462	0.0079251085	-0.0284884053	-0.0263710161	0.001072917	0.012885438	0.0328867691	-0.0093053359	-0.037287027	0.0123255615	0.0195701174	-0.0289667645	-0.0462692092	0.0436082644	-0.0081075178	0.0323553318	-0.0519874672	-0.0522888279	-0.0129436413	-0.0029779908	0.0077517094	-0.019856808	0.0300309037	0.0322369249	-0.0011008017	-0.0059083096	-0.0568563718	-0.0172544719	0.0189522042	0.0021666347	-0.0175388365	0.00110118	-0.0466857192	-0.0163787535	0.0859961675	-0.0189036346	0.0087990274	-0.0549051079	0.0295795106	-0.0115563173	0.0658313909	-0.0821107789	-0.001084277	0.0634921028	0.0634682227	0.0634284291	0.0633727321	0.0633011457	0.0632136877	0.0631103801	0.0629912487	0.0628563236	0.0627056384	0.0625392311	0.0623571432	0.0621594205	0.0619461125	0.0617172727	0.0614729585	0.0122346	-0.0003566	0.00014968543716	1.2716356000000024e-07	-0.0372421	0.0106556999999999	0.00138697401241	0.0001135439424899	0.0513706	-0.0188947	0.00263893854436	0.00035700968809	-0.000748341	0.000446079	5.600142522810001e-07	1.9898647424100007e-07	9.38874e-05	8.636800000000005e-06	8.814843878760002e-09	7.459431424000009e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6365.552064730079	3.778237859132787	40520253.08878937	14.275081320184306	7978.552459200495	-23.855076296371408	569.064665105701	63657299.34421427	5939.317279526626	-1.0657823493611431	1.1358920162097577	35275489.74688356	6114.349876805537	6933.227555976655	0.7601639999999998	22.173542	0.0299488799999999	0.0159779	0.0031649465	0.0258467022	-0.0249310728	0.017129896	-0.0010896786	-0.0072900716	0.0034083176	-0.00643162	-0.0204136013	-0.0504741795	-0.0226831067	0.0171053875	0.0010785948	-0.0532692421	0.0253234323	0.0074374317	0.0326961966	0.011755931	-0.0033785594	-0.0612083194	0.0451362624	-0.0309331411	0.0116080817	0.0928299663	-0.030612394	0.0025644313	-0.0044148683	0.011623603	-0.0531926382	-0.0086190441	0.0329202955	0.010075433	-0.0307150364	-0.0057371351	-0.031929562	0.0257300023	-0.0173176704	0.0564795875	-0.0334834345	-0.0192885149	-0.0001248947	-0.0106776102	-0.0079171507	0.0192835381	0.0254970884	0.0194521953	0.0291082669	-0.0140266001	-0.0228233808	0.0046097985	-0.0226465624	-0.0125598329	0.0035068397	-0.0801110543	-0.0269675286	-0.0253159628	0.0358507024	-0.0417902553	-0.0738362418	-0.0083794552	-0.0032410018	0.0511440982	0.0040942798	0.0066012884	0.0634844608	0.0634376605	0.0633596855	0.0632505741	0.0631103801	0.0629391721	0.0627370345	0.0625040665	0.0622403826	0.0619461125	0.0616214006	0.0612664066	0.060881305	0.0604662849	0.0600215504	0.0595473199	0.0181818	0.0059472	0.00033057785124	3.536918784000002e-05	-0.0398884	-0.0026462999999999	0.0015910844545599	7.0029036899999855e-06	0.0403046	-0.011066	0.00162446078116	0.000122456356	-0.000927661	-0.0001793199999999	8.605549309209999e-07	3.2155662399999985e-08	0.000120355	2.646759999999999e-05	1.4485326025e-08	7.005338497599995e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6378.794421974357	13.242357244277628	40689018.27781117	175.36002538507216	8022.9310914161615	44.378632215666585	1969.4629973334	64367423.29761212	5946.712861386652	7.395581860025231	54.69463104833426	35363393.85578142	6124.023010362254	7006.71135042438	0.7333469999999999	21.3913	0.0743559199999999	0.0416518	0.0125511493	-0.017495837	0.0196767534	0.016010981	0.0105377182	-0.006939333	0.0038431595	0.0078464931	-0.0010591557	-0.0952155125	-0.0055388717	-0.0079734022	0.032111466	0.0165476543	-0.0033062015	0.0003456555	-0.0140117005	0.0244376212	-0.0346106106	-0.0009159077	0.0004054689	-0.0230557801	-0.0351553291	-0.0041058523	0.0169404685	0.0043183783	0.0063456063	-0.0023482295	-0.0803270592	0.0346189685	0.0260177554	-0.029022237	0.0177007092	0.0298493286	0.0133854802	-0.0137316407	-0.0019930408	0.0123330256	0.0048398803	-0.037443615	-0.0207608144	-0.0213096591	0.0105820895	-0.0002617441	0.001511942	0.0153936944	0.0311711956	-0.0006198285	-0.0065747087	0.0444712396	0.0016265507	-0.0172882366	-0.0314547154	-0.0324279868	-0.011696729	-0.0319038296	0.0655439634	-0.0394158767	-0.0298371189	0.0144715168	-0.0010491695	0.0059167372	0.093187775	0.075064249	0.063474272	0.0633969186	0.0632680659	0.0630878188	0.0628563236	0.0625737684	0.0622403826	0.0618564373	0.0614222441	0.0609381558	0.0604045657	0.0598219073	0.0591906537	0.0585113179	0.0577844516	0.0570106453	0.00626168	-0.01192012	3.92086364224e-05	0.0001420892608144	-0.0220516	0.0178367999999999	0.00048627306256	0.0003181514342399	0.0302568	-0.0100478	0.00091547394624	0.00010095828484	-0.000236637	0.0006910239999999	5.5997069769e-08	4.775141685759999e-07	0.000120355	0.0	1.4485326025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6370.239542862181	-8.554879112175513	40579951.833444975	73.18595662393689	7975.198670754384	-47.73242066177773	2278.383982232905	63603793.83800249	5940.659799504501	-6.05306188215036	36.63955814914165	35291438.85344886	6115.980456304257	6947.920305137147	0.708118	20.655399	0.053920875	0.031685	7.09888e-05	0.0387476826	0.0033171548	0.0063619874	-0.0031313319	-0.0099066012	0.0058808062	-0.0182656448	-0.0085574876	-0.046593513	-0.007703746	-0.0018644095	0.0635836349	-0.0181144138	0.032632772	-0.0088794216	0.0320302775	0.0639078878	-0.0234096733	-0.0462176621	0.0158223183	-0.0379597429	-0.0319926432	0.0378645852	-0.0341138934	0.0043732106	-0.0152861827	-0.0016505538	-0.051604436	0.0008720132	0.0178546819	-0.0234905062	0.0024275669	0.0323409046	-0.0376992317	0.0381926018	-0.0448529655	0.0801724615	0.0214783294	-0.0675820058	-0.0205562579	-0.0356401642	0.0255201319	-0.0221738199	-0.0147263501	-0.0035558716	0.0439100545	0.03918159	-0.0054366829	0.0128617495	-0.0225009133	0.0070946562	0.0224162036	-0.0012212276	-0.0092426792	-0.0490406589	0.0884720704	-0.0746867553	0.0235648675	0.0301162311	-0.0700939466	0.0041486789	0.040583055	0.0578101762	0.0634615368	0.0633460034	0.0631536035	0.0628845706	0.0625392311	0.062118004	0.0616214006	0.0610500234	0.0604045657	0.0596858108	0.0588946308	0.0580319858	0.0570989226	0.0560965732	0.0550261542	0.0538889642	0.0104941	0.0042324199999999	0.0001101261348099	1.791337905639999e-05	-0.016439	0.0056126	0.000270240721	3.150127876000002e-05	0.00187513	-0.02838167	3.5161125169e-06	0.0008055191919889	1.34557e-05	0.0002500927	1.8105586249000003e-10	6.254635859329001e-08	0.000184146	6.3791e-05	3.3909749316e-08	4.069291681e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6386.805664826406	16.566121964225204	40791286.60025868	274.4363969335847	8030.116617107182	54.917946352798026	3015.980831608802	64482772.88434089	5947.954191004317	7.294391499815902	53.20814735258648	35378159.058285825	6124.580091857837	6934.186830087504	0.819021	23.890375	0.05787697	0.0288979	0.0066990554	0.0087694513	-0.0422848533	-0.0167242826	0.0136676432	-0.0050752702	0.0053124355	0.0006286156	0.0334682522	0.0143935309	0.0382036985	0.0136066764	0.0820043336	0.0120799439	0.0091882844	-0.0533397336	-0.0084343697	0.0759732753	0.0197282101	0.0663923163	0.0115999873	-0.0157857714	0.0061301777	-0.0594697778	0.0224287561	0.0047377251	0.0006962683	-0.0260363908	0.0369000768	0.0380627052	0.0066097093	-0.038203078	0.0271711346	0.0626435753	-0.0165343597	0.0179317461	-0.01216858	0.0412562292	0.0852765176	-0.0095364742	-0.0122480088	0.0051488833	0.0396722992	-0.0253560983	-0.0225200345	0.0265213265	0.0157031818	0.0223053129	0.0309827027	0.0215078007	-0.0242024305	0.012877918	0.0346668381	0.0620453018	0.0082635878	0.0024220675	0.0382745938	0.0078424989	0.1007410346	-0.0287065567	0.0823039285	-0.0554822195	0.06867172	0.0487641276	0.0634462556	0.0632849231	0.0630163395	0.0626409599	0.0621594205	0.0615725373	0.060881305	0.060086895	0.0591906537	0.0581940999	0.0570989226	0.0559069777	0.0546202853	0.053241026	0.0517715373	0.0502143095	0.00699038	-0.0035037199999999	4.88654125444e-05	1.2276053838399997e-05	-0.0174724	-0.0010334	0.00030528476176	1.0679155600000003e-06	0.0229643	0.02108917	0.00052735907449	0.0004447530912889	-0.000278849	-0.0002923047	7.7756764801e-08	8.544203764209002e-08	6.24961e-05	-0.0001216499	3.90576251521e-09	1.4798698170009998e-08	-0.000231059	-0.000231059	5.3388261481e-08	5.3388261481e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6381.617856486243	-5.1878083401634285	40725046.46622408	26.913355374269223	8027.2880292161135	-2.828587891068309	8.000909457498267	64437353.10399632	5952.94104685102	4.986855846702383	24.868731235789745	35437507.10728371	6127.895759243486	6992.241891137489	0.78813	22.989298	0.069548836	0.0334441	0.0044186977	0.0268797461	0.0410096041	0.0063050152	0.0080063848	-0.0017963315	0.0091817581	0.0039247584	0.0456884007	0.0473259275	0.0091264319	0.0082722323	0.0120954133	0.0055156034	-0.0018323175	-0.0136978703	0.0032171775	-0.0365952138	0.0143651401	-0.015112716	0.004409507	-0.0092915488	-0.0144420392	-0.0273733224	0.0571654851	0.0075538132	-0.0010220495	-0.0386915959	0.0573966083	-0.0058817714	0.00065538	-0.0113404464	-0.0013048731	0.0156492528	-0.0046155701	-0.0038980174	0.0034699476	-0.0165119988	-0.0032681059	0.0060352625	-0.0140047643	0.01811659	0.0119957276	-0.0034492528	-0.0423478792	-0.0155262096	-0.0060895968	0.0279767021	0.0468158874	-0.0092298864	-0.0307164223	0.0093149535	-0.0017515748	0.0663064959	0.0121302973	0.0131537471	-0.0179525433	0.039688975	0.0659007961	0.013346919	-0.0163636961	0.0292222937	-0.0553358765	-0.0239157626	0.0634284291	0.0632136877	0.0628563236	0.0623571432	0.0617172727	0.0609381558	0.0600215504	0.0589695244	0.0577844516	0.0564690055	0.0550261542	0.0534591529	0.0517715373	0.0499671147	0.0480499565	0.046024388	0.000860769	-0.006129611	7.40923271361e-07	3.7572131011321e-05	-0.0220551	-0.0045827	0.00048642743601	2.100113929000002e-05	-0.00299487	-0.02595917	8.9692463169e-06	0.0006738785070889	1.07962e-05	0.0002896452	1.1655793444e-10	8.389434188304e-08	0.000199339	0.0001368429	3.9736036921e-08	1.8725979280410004e-08	0.0	0.000231059	5.3388261481e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6385.405119374309	3.787262888065925	40773398.53853163	14.343360183321453	8018.609999776119	-8.678029439994134	75.30819496140491	64298106.32850958	5952.367093433169	-0.5739534178501344	0.329422525861851	35430674.01498604	6128.299640443743	6989.363303589473	0.776777	22.658133	0.042777159	0.0260657	0.0042146173	-0.0050676799	0.0020446962	0.0206765081	0.0109009951	-0.0032773013	0.0052277938	0.0125353235	0.0185337633	0.0789433974	0.0340243539	-0.0025537027	-0.0005927861	-0.0343321323	-0.0052587351	-0.0696028495	-0.0078805563	-0.0112118182	0.0832022543	-0.0006946861	-0.0150034495	-0.0286229811	0.0412892782	-0.0238255769	0.0390356654	0.0046381943	0.0113461197	-0.0120001405	0.0839914306	-0.0028981568	-0.0236769571	-0.0151261465	-0.0375880143	0.0220593462	0.0064278523	0.0248608509	0.0004371067	0.0152080636	0.0318023214	0.0842480008	-0.0230775256	0.0237132159	-0.0075718999	0.0045517867	-0.0443323019	-0.0131476337	-0.0347063728	0.0286549576	0.0393552168	0.0034610111	-0.0223393815	0.0144406101	-0.0112967209	0.0162553491	-0.0086429858	0.0427885156	-0.0582937089	0.0292179109	0.0320151903	-0.0301991503	0.0006461664	0.0022138757	-0.0460924675	-0.1128713348	0.0634080581	0.0631323084	0.0626736135	0.0620333026	0.0612132312	0.0602157757	0.0590438266	0.0577007799	0.0561905276	0.054517446	0.0526863833	0.0507026458	0.0485719818	0.0463005656	0.0438949794	0.041362194	-0.0115121	-0.012372869	0.00013252844641	0.0001530878872911	-0.0220743	-1.9200000000000467e-05	0.00048727472049	3.6864000000001787e-10	-0.025034	-0.02203913	0.000626701156	0.0004857232511569	-7.713899999999998e-05	-8.793519999999998e-05	5.950425320999997e-09	7.732599399039996e-09	0.000120355	-7.898400000000001e-05	1.4485326025e-08	6.238472256000003e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6365.764414748724	-19.64070462558448	40522956.58408117	385.75727818945546	7992.961529236985	-25.648470539134	657.8440409968246	63887434.00786245	5944.540057908889	-7.827035524280291	61.26248509834564	35337556.50008342	6121.556635577657	6959.803183098661	0.784953	22.896618	0.02597522	0.0165882	0.0053614547	-0.0064187003	-0.0289261471	0.0238067945	-0.0002686769	0.0071330414	0.0028277715	-0.001816418	0.005383341	0.0494286515	0.016226353	0.0258357102	-0.0012780741	-0.0510576881	-0.0332646864	-0.0147444782	0.0209590047	-0.0529915765	0.0346723652	0.0085278071	-0.0501956825	0.0032839263	0.0090853936	0.0085830749	0.0050066056	0.0023757226	-0.0029255971	-0.0028058982	0.0557294951	0.0017777442	0.0067382909	0.0033484846	-0.0398630908	-0.0024887652	-0.0278525484	0.0283630639	0.0453350109	-0.0102543508	0.0114235846	0.0347204257	-0.0273749139	0.0323499425	-0.02850898	0.0249597666	-0.0429751399	-0.0368707627	-0.0427495768	-0.0027031857	0.0480903295	-0.0209596227	-0.0055036482	0.0054489688	-0.0098875413	-0.0040706459	-0.0218881233	0.0699553258	-0.075883293	0.0257565665	0.0418860921	-0.0490953811	0.0690429876	-0.0920588983	-0.0383940024	-0.0433514868	0.0633851432	0.0630407983	0.0624682751	0.0616696459	0.0606478014	0.0594064402	0.0579500553	0.0562839184	0.0544140599	0.0523472479	0.0500909633	0.0476533728	0.0450432994	0.0422701902	0.0393440827	0.0362755679	0.00301136	0.01452346	9.0682890496e-06	0.0002109308903716	-0.0220698	4.500000000001031e-06	0.00048707607204	2.025000000000928e-11	-0.0308794	-0.0058454	0.00095353734436	3.4168701160000004e-05	3.48982e-05	0.0001120371999999	1.2178843632399998e-09	1.2552334183839996e-08	0.000120355	0.0	1.4485326025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
