onset	duration	trial_type	disobedience	InstructionToButtonTime	InstructionToToneTime	modulation
-29.65	0.0	Unknown2	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown2	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
-29.65	0.0	Unknown1	n/a	n/a	n/a	1
0.0	0.0	FirstfMRITrigger	n/a	n/a	n/a	1
1.0300000000000011	0.0	FixationCross	n/a	n/a	n/a	1
1.8300000000000018	0.5	AudioInstruction	n/a	3.7399999999999984	5.040000000000003	1
1.8300000000000018	3.7399999999999984	Agency	n/a	3.7399999999999984	5.040000000000003	0.9568740516927056
1.8300000000000018	0.5	Audio	n/a	n/a	n/a	1
1.8300000000000018	0.5	AudioSendShock	n/a	n/a	n/a	1
4.3700000000000045	0.0	Map1	n/a	n/a	n/a	1
5.57	0.0	Button	n/a	n/a	n/a	1
5.57	0.0	CommanderShock	n/a	n/a	n/a	1
5.680000000000002	1.5	WitnessShock	n/a	n/a	n/a	1
6.8700000000000045	0.2	AudioTone	n/a	n/a	n/a	1
6.8700000000000045	0.2	AudioTone	n/a	n/a	n/a	1
6.8700000000000045	0.2	Audio	n/a	n/a	n/a	1
6.8700000000000045	0.0	LogShock	n/a	n/a	n/a	1
